n_ax,pi_a,pi_c,OPR,rpm,eta_ax,eta_cc,eta_overall,eta_overall_fielded,T0_eye,U2,U2_fielded,stress_MPa,stress_fielded_MPa,stress_factor,stress_factor_fielded,M1s_rel,choked,D_axial_mm,D_diffuser_mm,D2_mm,M_rel_tip_axial,L_axial_mm,ax_hub_tip,ax_Cx,note
2,1.6,2.5,4.0,65000,0.8405048567486441,0.8410050299663755,0.826971507725574,0.7190705057959788,361.719843899839,410.1623470853244,441.09673460868845,307.4250542474849,355.5456459725129,1.4637713933287255,1.2656602748407424,0.8645157101662458,False,145.0659253538953,168.6962635604014,120.51575078548252,1.2468145402413826,129.7197096879892,0.4,170.0,
2,1.8,2.2222222222222223,4.0,65000,0.8573174254462899,0.8394871420630149,0.8326407874279509,0.7232318764274716,374.78790253322313,386.52825127889656,416.49443410748745,273.0172972034795,316.99038047999306,1.6482472158700463,1.419601438121249,0.8226113019847368,False,144.61937329422952,159.32149011359726,113.5714741582202,1.2595325416933645,124.4565055994544,0.4,170.0,
2,2.0,2.0,4.0,65000,0.8642554571434942,0.8356500713815769,0.835160364777149,0.7251730760303697,387.1793064534041,363.936484618436,392.82913769088776,242.03538901796233,281.9908823267338,1.8592322462671103,1.5957962764150628,0.7864805842274007,False,139.77728075667977,150.3601701655213,106.93345938186762,1.2670512444324566,115.60660311502136,0.4,185.0,
2,1.6,,4.0,75000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,1.8,,4.0,75000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,2.0,,4.0,75000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,1.6,,4.0,85000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,1.8,,4.0,85000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,2.0,,4.0,85000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,1.6,2.8125,4.5,65000,0.8405048567486441,0.8480687786193728,0.831545126297807,0.7226824758770283,361.719843899839,437.5804797753142,470.58273907634464,349.89969131788524,404.6687478992879,1.2860828722228659,1.1120206399333659,0.8645157101662458,False,145.0659253538953,179.5720247660897,128.57187019710346,1.2468145402413826,129.7197096879892,0.4,170.0,
2,1.8,2.5,4.5,65000,0.8573174254462899,0.848095605597068,0.8369630098198907,0.726430242404608,374.78790253322313,415.40571351300633,447.610664944073,315.33531447382677,366.1242798083149,1.4270523450596606,1.2290908437856085,0.8226113019847368,False,144.61937329422952,170.7761134840328,122.05638035854282,1.2595325416933645,124.4565055994544,0.4,170.0,
2,2.0,2.25,4.5,65000,0.8642554571434942,0.8463536039729044,0.839422861361788,0.7281101831423126,387.1793064534041,394.4066295923228,425.71828533421245,284.26022267611836,331.18624234278224,1.583056523925695,1.3587520931326726,0.7864805842274007,False,139.77728075667977,162.44655199121303,115.88633480830593,1.2670512444324566,115.60660311502136,0.4,185.0,
2,1.6,,4.5,75000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,1.8,,4.5,75000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,2.0,,4.5,75000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,1.6,,4.5,85000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,1.8,,4.5,85000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,2.0,,4.5,85000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,1.6,3.125,5.0,65000,0.8405048567486441,0.8525761470133125,0.8346226504480088,0.7250710973321279,361.719843899839,461.6208363855337,496.43621605918025,389.40227653502546,450.3545889996227,1.1556172809367846,0.9992126448618845,0.8645157101662458,False,145.0659253538953,189.10794687823977,135.63551620610355,1.2468145402413826,129.7197096879892,0.4,170.0,
2,1.8,2.7777777777777777,5.0,65000,0.8573174254462899,0.8535695434940529,0.8398787776079361,0.7285260180872293,374.78790253322313,440.5421216116431,474.695810808308,354.6521174003811,411.773579125994,1.26884904367278,1.092833593051655,0.8226113019847368,False,144.61937329422952,180.7467987652122,129.44207315941642,1.2595325416933645,124.4565055994544,0.4,170.0,
2,2.0,2.5,5.0,65000,0.8642554571434942,0.8530960593769317,0.8423234658049868,0.7300290953710428,387.1793064534041,420.7219857794843,454.12279852796206,323.4581471054053,376.85500731157344,1.3912155375494637,1.194093195710021,0.7864805842274007,False,139.77728075667977,172.88488246288264,123.61843145398713,1.2670512444324566,115.60660311502136,0.4,185.0,
2,1.6,,5.0,75000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,1.8,,5.0,75000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,2.0,,5.0,75000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,1.6,,5.0,85000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,1.8,,5.0,85000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
2,2.0,,5.0,85000,,,,,,,,,,,,,,,,,,,,,no feasible axial stage(s)
