MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,N_pct,comp_RlineMap,comp_NcMap,comp_WcMap,comp_PRmap,comp_effMap,pwr_net_kW,conv,igv_deg,W_stack,PR_stack,eta_stack,stall_index,stall_row,SM_peak,SMW_peak,i_R1,i_R2,i_R3,i_R4,i_R5,i_R6,si_R1,si_R2,si_R3,si_R4,si_R5,si_R6,case,A8_scale
1e-06,0.0,690.2917955937208,690.2922604852376,0.0004648915167017608,1.3660802449265437,0.023629817779268432,0.12323389115786872,0.016432656114950327,5.273798434075401,5.440630750103028,98.21762904407328,288.1500000000577,534.3658527793973,532.1486477571628,507.6475601404274,1163.3270353908795,167.09490135055697,957.366741184098,3.0380792952826696,338.8812728622779,1.4092997577357873,1.6491039321504841,507.2843354817293,65.53396241892564,100000.0,0.7239562445618655,0.7496931023957727,3.5685877273408757e-09,1.4001452291610537,1004.4167849535459,1.3832452649383473,1036.0647415687058,1.3124508570308615,1205.6417179332614,1.327623829690137,1163.1127700513398,100.0,2.615296085285616,1.0353875034113087,2.514773919096258,5.469871813444756,0.823354572852038,2.553463058414314e-09,True,21.37002019279793,1.1059352331800685,5.529480302631893,0.8259909469176759,0.872069921603451,S6,0.12136822628764055,0.10970762042709414,-1.2622374283271327,-0.7886454474848961,-0.21178266110182165,0.4488305724874877,1.1500020669181765,1.838473629387515,0.7677274309933998,0.7821617243787893,0.7997435396091876,0.8198779287323756,0.8412484659743397,0.8622319304800243,SLS_bleed10,1.0
1e-06,0.0,569.5877949366277,569.5882277542539,0.00043281762616235493,1.2718313574556042,0.019803489125467557,0.12516518346327138,0.014792302893704125,4.742896102374863,4.8929337557529315,98.21762904407322,288.1500000000577,480.5723525597654,511.52964818809323,456.5437349317772,1088.1623396419375,153.69720846488514,896.8223201120968,2.9704100646439695,288.35368293227657,1.3120690608034826,1.5168785451159685,450.32657870883384,65.53396241717627,95000.0,0.7296472105533328,0.7484496539440784,7.565025583355733e-11,1.4001452291610537,1004.4167849535459,1.3854280366449634,1031.8078227517433,1.3186411365151707,1187.8156498124115,1.3339747362374048,1146.474265110605,95.0,2.407008936926994,0.9836181282407434,2.3412741228784584,4.918568294840534,0.8298269016816012,-5.5299307631852024e-11,True,21.37002019279793,1.0296343235317837,4.94695781273021,0.8326740018106435,0.8367717224472009,R1,0.10998755554570017,0.1451276000250148,1.0031192387718164,0.9105351620126925,0.7923117172667489,0.6754325741091307,0.558669461471851,0.44076735227197616,0.8367717224472009,0.8339499142645962,0.830346660925172,0.8267843796551857,0.8232256348018617,0.8196321752337317,SLS_bleed10,1.0
1e-06,0.0,416.2526797564892,416.25308591373715,0.0004061572479637293,1.1934900355106453,0.01691601599312765,0.14629973700321905,0.014960991820742566,3.9788278355444264,4.104694811913887,98.21762904407346,288.1500000000577,403.153392375691,484.81728269373497,382.9957227569064,1071.3407877436096,137.78353384767638,893.6144983131136,2.779691535421925,225.9007877766576,1.231249206737243,1.3598222664641357,389.6010121764108,65.5339624169297,90000.0,0.7195655860978112,0.7458545933546422,1.2453021161022286e-11,1.4001452291610537,1004.4167849535459,1.3880706876311069,1026.7448186144068,1.3197308844866427,1184.748036101245,1.3341462217229796,1146.0276027173172,90.0,2.5185068622774405,0.9318487530701778,2.197058060940207,4.125138884560504,0.8183610822214012,-8.625541918313141e-12,True,21.37002019279793,0.9662116743318473,4.402851798355169,0.820558492229566,0.9127420048466706,R4,0.09411819787287201,0.16128510868852808,2.3081478596036504,1.081876491226332,-0.16886466936418287,3.4957190194529417,2.9408339518974245,2.4446713223497483,0.8765468173631176,0.8391721120951294,0.8010516083884586,0.9127420048466706,0.895830033816198,0.8807078247175114,SLS_bleed10,1.0
1e-06,0.0,348.9344730973896,348.9348484328739,0.0003753354842506419,1.1029205133542455,0.014900507969858673,0.1537303787021338,0.014260605163966515,3.611902612930629,3.7261622088772643,98.2176290440734,288.1500000000577,365.97481758955234,468.9850890169559,347.6760767100747,1032.6959302096682,131.53107708688412,868.1420917116412,2.643299852858453,191.75258699560024,1.137814281441092,1.2981151111457736,353.6562456820519,65.53396241714016,85000.0,0.7184884224417117,0.7440760688549779,1.1811737492976757e-11,1.4001452291610537,1004.4167849535459,1.3895543569965085,1023.9271845147172,1.3230653974655848,1175.4857725363333,1.3369706035485125,1138.843793894799,85.0,2.1892585024910765,0.8800793778996125,2.030331491962961,3.7441136861145368,0.8171360252809832,-6.1526343595686855e-12,True,21.37002019279793,0.8928894621286018,3.744339746926557,0.8191454445471622,0.9277440634039917,R1,0.10376294012902454,0.15572863587848418,3.9879394863075603,1.7262940422323254,-0.42723862217718533,2.248747644026807,0.9262209477051186,-0.39234509692713715,0.9277440634039917,0.8588128838357585,0.7931768014050017,0.8747363979019038,0.8344279908406864,0.7942402978345948,SLS_bleed10,1.0
1e-06,0.0,275.63253936929067,275.63287229000554,0.000332920714880371,0.9782850307777506,0.01300384678494007,0.16984151629159927,0.014030964683701793,3.1825424035622683,3.2832195391561902,98.21762904407336,288.1500000000577,322.4700387670962,452.598513966871,306.34653682874136,1010.3048095395635,124.77670558164027,860.3196272136184,2.455158079392483,154.51342531724328,1.0092356301849346,1.2314544252322688,315.02509022060445,65.53396310916001,80000.0,0.7011118514081727,0.7416856039923345,3.47632052543101e-08,1.4001452291610537,1004.4167849535459,1.3910215345110217,1021.1626569574296,1.324960725697674,1170.314134612845,1.3378523130063833,1136.613189545688,80.0,1.8073696551363079,0.828310002729047,1.8008939738217005,3.298254287804451,0.7973736717845903,-2.3680734284539946e-08,True,21.37002019279793,0.7919885289675804,3.2911895485651517,0.7991455691057837,1.0199694897336684,R1,0.06766631800125644,0.08436951574951368,7.013873709294998,3.6762379517148958,0.877656743734839,2.961994661658757,0.9867170183268215,-0.9665638895856432,1.0199694897336684,0.9182439207052381,0.832947834933299,0.8964749769429692,0.8362718101352276,0.7767390671214041,SLS_bleed10,1.0
1e-06,0.0,211.04375835769315,211.04404407007124,0.00028571237807646134,0.8395636861483715,0.01161551384389196,0.19813829209361572,0.014603800010456663,2.7597270160493226,2.8470287313967804,98.2176290440733,288.1500000000577,279.62841181814764,437.99849232345696,265.6469912272402,1018.4991891202475,118.73398585542914,882.5431720591522,2.237329011684092,120.72125381306692,0.8661254738782103,1.171817220910446,280.9012870447984,65.53396269778905,75000.0,0.664407062006899,0.7401447577738876,2.8207931168618073e-08,1.4001452291610537,1004.4167849535459,1.3922662077877466,1018.8290338319108,1.3239299807044054,1173.1195340375843,1.3354009200008128,1142.8236241339157,75.0,1.2150262878775155,0.7765406275584815,1.5455262377081918,2.8591912117217912,0.7556293586080401,-2.0677107472123636e-08,True,21.37002019279793,0.6796841287029023,2.850242689576703,0.7573203564311297,1.1317009602324188,R1,0.018824412329299323,0.022559422958579045,10.679805045392143,6.052218857050711,2.5011027205246634,3.9492047179259657,1.3651835094160418,-1.1233299187451493,1.1317009602324188,0.9906598543633822,0.8824277595778016,0.9265634922928832,0.8478068373103193,0.7719611001175568,SLS_bleed10,1.0
1e-06,0.0,152.85148621952024,152.85171933417485,0.00023311465460571388,0.6850056691054568,0.010619040027247516,0.25010253445091457,0.016363348802741526,2.3569930784644293,2.431554633870224,98.21762904407325,288.1500000000577,238.821531029863,420.1972287187408,226.8804544783698,1066.4545134170146,113.77094991260876,944.3830074150746,1.994186166614977,86.71616578433382,0.7066776107064424,1.1244008950461926,248.91893026806963,65.5095788556718,70000.0,0.6241417979754386,0.7374382936189039,4.06299627905051,1.4001452291610537,1004.4167849535459,1.3936552273911083,1016.2499293848018,1.3191402229018534,1186.4013191540223,1.3287748289414807,1160.061874350241,70.0,1.0,0.7247712523879162,1.3373091934671906,2.4409812631221994,0.7098357218842332,3.029147545013303,False,21.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_bleed10,1.0
1e-06,0.0,112.68557159941099,112.68576082540847,0.00018922599747631954,0.5560391783719143,0.010083575689513988,0.32214303896240876,0.01914213018243869,2.04161255461679,2.10619730414325,98.21762904407349,288.1500000000577,206.86570551196937,404.4343759662938,196.5224202363709,1150.6964899907796,110.14149557923267,1041.1260804069955,1.784272305391007,61.933197658395784,0.5736309285500869,1.0916489059622188,225.45488623982072,65.60605013937517,65000.0,0.5838505614627505,0.7347064098431746,6.69222398592644,1.4001452291610537,1004.4167849535459,1.394823562848714,1014.0875078633791,1.311492174744235,1208.4772642285134,1.319180801155435,1186.2849026453678,65.0,1.0,0.6730018772173506,1.1733066592264905,2.113481491291247,0.6640125466885258,4.98840058793621,False,21.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_bleed10,1.0
1e-06,0.0,79.14881961862368,79.1489680691303,0.00014845050663148845,0.4362207034823381,0.009470893880887654,0.43077354956754105,0.022917423616627686,1.7750692526580247,1.8312221220238571,98.21762904407343,288.1500000000577,179.85829507824016,387.47504809515027,170.86538032432816,1265.1412023826265,107.01430039854658,1169.3406674458604,1.596659322053081,41.47183516605436,0.4500216835871525,1.064165314983283,201.10791619765925,65.68614072454353,60000.0,0.5410111542821415,0.7318886505985496,7.775312692537331,1.4001452291610537,1004.4167849535459,1.3959224422734555,1012.0723425198748,1.3019433408444705,1237.6128025658988,1.3078266519399602,1219.430902623341,60.0,1.0,0.6212325020467853,1.0216419850971794,1.836695627948794,0.615291340033597,5.793420303640898,False,21.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_bleed10,1.0
1e-06,0.0,56.29829022735415,56.29840447610402,0.00011424874987158564,0.3357190970366786,0.009140834434405732,0.5845116047213779,0.02874027320702683,1.5705174259958516,1.620199465007373,98.21762904407338,288.1500000000577,159.1321500315003,373.2640039420391,151.17554252992528,1442.9030953879521,104.88378898864588,1359.9209063450926,1.4413623305150682,27.329960093745726,0.34634044660129676,1.0453698247268761,184.81833676353753,64.7684698401698,55000.00000000001,0.49928543223465255,0.7295712022599651,7.438687666175309,1.4001452291610537,1004.4167849535459,1.396822056991412,1010.4239566673865,1.2884630244323998,1282.2175801580945,1.292928131967959,1266.929708844805,55.00000000000001,1.0,0.5694631268762199,0.8902449776724957,1.6242834100281036,0.567836726151311,5.538333076040316,False,21.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_bleed10,1.0
