layout,design,t_drum_mm,shaft_od_mm,k,c,ok,crits,m_rotor_kg,Ip_kgm2
A,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,600000.0,0.0,False,7564@AF500000.0;10122@AF500000.0;25722@AF500000.0(X);73768@AF500000.0(X),1.3872864650554857,0.000930772432104593
A,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,600000.0,300.0,False,7520@AF2.75;10344@AF4.13;24090@AF1.49;72777@AF8.62(X),1.3872864650554857,0.000930772432104593
A,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,600000.0,876.0,False,2463@AF0.56;6478@AF0.86;11607@AF3.71;64048@AF3.99(X);120489@AF4.75,1.3872864650554857,0.000930772432104593
A,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,600000.0,2000.0,False,2814@AF0.58;8125@AF0.99;11979@AF7.78;59382@AF7.21(X);110287@AF7.16,1.3872864650554857,0.000930772432104593
A,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,1750000.0,0.0,False,10672@AF500000.0;14129@AF500000.0;35371@AF500000.0(X);76356@AF500000.0(X),1.3872864650554857,0.000930772432104593
A,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,1750000.0,300.0,False,10737@AF18.12;14015@AF4.89;35778@AF2.64(X);75550@AF7.68(X),1.3872864650554857,0.000930772432104593
A,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,1750000.0,876.0,False,11127@AF8.65;13186@AF1.57;27797@AF0.58;62887@AF3.0(X);121181@AF4.16,1.3872864650554857,0.000930772432104593
A,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,1750000.0,2000.0,False,2697@AF0.52;8542@AF0.62;11695@AF9.78;58996@AF6.93(X);109925@AF6.97,1.3872864650554857,0.000930772432104593
A,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,5000000.0,0.0,False,11619@AF500000.0;22593@AF500000.0;47468@AF500000.0(X);83825@AF500000.0(X),1.3872864650554857,0.000930772432104593
A,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,5000000.0,300.0,False,11622@AF185.1;22569@AF8.09;47999@AF8.67(X);83979@AF8.1(X),1.3872864650554857,0.000930772432104593
A,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,5000000.0,876.0,False,11640@AF66.03;22383@AF2.75;52603@AF3.93(X);89116@AF2.07;126754@AF2.87,1.3872864650554857,0.000930772432104593
A,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,5000000.0,2000.0,False,2816@AF0.58;11709@AF34.57;21242@AF1.16;57789@AF6.8(X);108733@AF6.66,1.3872864650554857,0.000930772432104593
A,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,19000000.0,0.0,False,11945@AF500000.0;39952@AF500000.0(X);57039@AF500000.0(X);99792@AF500000.0(X),1.3872864650554857,0.000930772432104593
A,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,19000000.0,300.0,False,11945@AF2842.51;39973@AF22.93(X);57053@AF64.69(X);99984@AF33.32(X),1.3872864650554857,0.000930772432104593
A,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,19000000.0,876.0,False,11946@AF976.33;40128@AF7.81(X);57148@AF23.14(X);101358@AF12.71(X),1.3872864650554857,0.000930772432104593
A,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,19000000.0,2000.0,False,2865@AF0.57;11947@AF433.63;40904@AF3.32(X);57417@AF12.27(X);105385@AF9.36,1.3872864650554857,0.000930772432104593
A,"drum 2 mm, shaft 24/12",2.0,24.0,600000.0,0.0,False,6835@AF500000.0;11126@AF500000.0;36273@AF500000.0(X);120492@AF500000.0,1.9131888406938562,0.0011170488399012306
A,"drum 2 mm, shaft 24/12",2.0,24.0,600000.0,300.0,False,6746@AF2.88;11021@AF1.99;35437@AF3.97(X);120310@AF19.3,1.9131888406938562,0.0011170488399012306
A,"drum 2 mm, shaft 24/12",2.0,24.0,600000.0,876.0,True,4443@AF0.52;5962@AF0.97;25694@AF1.36;118679@AF6.31,1.9131888406938562,0.0011170488399012306
A,"drum 2 mm, shaft 24/12",2.0,24.0,600000.0,2000.0,True,2833@AF0.56;3195@AF0.51;21760@AF2.69;103091@AF3.04,1.9131888406938562,0.0011170488399012306
A,"drum 2 mm, shaft 24/12",2.0,24.0,1750000.0,0.0,False,11258@AF500000.0;16870@AF500000.0;41302@AF500000.0(X);121579@AF500000.0,1.9131888406938562,0.0011170488399012306
A,"drum 2 mm, shaft 24/12",2.0,24.0,1750000.0,300.0,False,11247@AF5.65;16937@AF4.96;40841@AF4.03(X);121419@AF19.04,1.9131888406938562,0.0011170488399012306
A,"drum 2 mm, shaft 24/12",2.0,24.0,1750000.0,876.0,True,11128@AF1.88;17874@AF1.84;35636@AF1.14;119974@AF6.18,1.9131888406938562,0.0011170488399012306
A,"drum 2 mm, shaft 24/12",2.0,24.0,1750000.0,2000.0,True,2703@AF0.53;9082@AF0.73;20801@AF2.39;102694@AF2.78,1.9131888406938562,0.0011170488399012306
