N,T4_steady,T4_steady_nearest,P_net_nearest_kW,SM_steady,bleed,A8,n_pts,P_ex_kW_5,T4_lim_5,SM_lim_5,limit_5,P_ex_kW_10,T4_lim_10,SM_lim_10,limit_10,t_to_max_s_5,t_to_max_s_10,I_p
0.985,1145.857335100642,1143.3558017351277,-0.4585986949268481,0.10626181577764537,0.0,1.0,5,0.7594624731195726,1150.0,0.1034917516519207,T4,0.7594624731195726,1150.0,0.1034917516519207,T4,0.0,0.0,0.0008071507957922
0.975,1126.2394770310516,1126.2394770309534,-1.863949343488107e-11,0.1114420379622385,0.0,1.0,6,4.482691771248753,1150.0,0.10161812304790296,T4,4.482691771248753,1150.0,0.10161812304790296,T4,0.6702603176624692,0.6702603176624692,0.0008071507957922
0.95,1124.9853736214172,1124.985373472909,-3.5281054108476235e-08,0.11842023477346664,0.1,1.0,6,5.8608912705440215,1150.0,0.11524946773217581,T4,5.8608912705440215,1150.0,0.11524946773217581,T4,1.0902532574036414,1.0902532574036414,0.0008071507957922
0.925,1037.9187094147787,1037.9187094057352,-1.747039202303181e-09,0.15376422689880132,0.1,1.166666666666666,12,21.009843315737434,1150.0,0.11074409280705289,T4,21.009843315737434,1150.0,0.11074409280705289,T4,1.3183077477962915,1.3183077477962915,0.0008071507957922
0.9,987.6371499417953,987.6371506106182,1.389674677736143e-07,0.17543882070946082,0.1,1.333333333333333,15,29.279249959925806,1150.0,0.08956144573950042,T4,24.90504301561901,1122.6371506106184,0.10307641419227731,surge margin / stall,1.4010301281615234,1.4070034583219617,0.0008071507957922
0.875,938.7053896066793,938.7053899157996,6.33533758719734e-08,0.1811273344343005,0.1,1.5,19,34.0827619919867,1150.0,0.06355890706122524,T4,23.855644333092187,1073.7053899157997,0.10229482767973175,surge margin / stall,1.4634449870002442,1.4875691238347486,0.0008071507957922
0.85,906.1863975812257,906.1863977158162,3.2936145052040647e-08,0.17888798297039443,0.1,1.666666666666667,21,34.61247063976235,1131.1863977158162,0.050394450701745086,surge margin / stall,21.92892842400668,1026.1863977158162,0.10551038534558499,surge margin / stall,1.5190211781591403,1.571038407280336,0.0008071507957922
0.825,888.836366640988,888.8363666588621,3.889162272656887e-09,0.16259831587698592,0.1,1.833333333333334,22,31.31897320844651,1068.836366658862,0.05568502642679918,surge margin / stall,17.60419565330182,978.8363666588621,0.10570966973496132,surge margin / stall,1.5753376314661462,1.6657764925331353,0.0008071507957922
0.8,877.1429816455164,877.1429816570106,2.325103097171114e-09,0.14936566128966766,0.1,2.0,21,23.839007855849154,1027.142981657011,0.057789265812056456,surge margin / stall,12.702155948263957,952.1429816570106,0.1010021340021039,surge margin / stall,1.641612816647245,1.7873120224757981,0.0008071507957922
0.775,878.2597832113486,878.2597832113453,-4.886546042904008e-13,0.11916133288792508,0.1,2.0,18,15.831980391556737,983.2597832113453,0.05560088223939652,surge margin / stall,2.205419687575501,893.2597832113453,0.10949962725402629,surge margin / stall,1.7329039267770097,2.245801733055214,0.0008071507957922
