ax80000_opr5_t1150_n6_cap_3r: design stacking PR 5.091; bleed port after stage 3: frac_P 0.379, frac_work 0.497; turbine map coverage [(0.3, 1.13, 2.52), (0.4, 1.13, 2.58), (0.5, 1.12, 2.64), (0.6, 1.11, 2.69), (0.7, 1.1, 2.74), (0.8, 1.08, 2.79), (0.9, 1.05, 2.84), (1.0, 1.03, 2.9), (1.1, 1.0, 2.96)]
+  +  |  LS: AG 1 ; 4259.09765 1
+  +  |  LS: AG 2 ; 11.1373566 0.5
+  +  |  LS: AG 1 ; 469.274126 1
+  +  |  LS: AG 2 ; 5.57177472 0.5
+  +  |  LS: AG 1 ; 93.7912197 1
+  +  |  LS: AG 2 ; 2.78570611 0.5
+  +  |  LS: AG 1 ; 36.5383902 1
+  +  |  LS: AG 2 ; 1.39283983 0.5
+  +  |  LS: AG 1 ; 10.4760098 1
+  +  |  LS: AG 2 ; 0.696415884 0.5
+  +  |  LS: AG 1 ; 2.9227207 1
+  +  |  LS: AG 2 ; 0.348205578 0.5
+  +  |  LS: AG 1 ; 2.92276439 1
+  +  |  LS: AG 2 ; 0.174105251 0.5
+  |  LS: AG 1 ; 2822.74845 1
+  |  LS: AG 2 ; 16.6423714 0.5
+  |  LS: AG 1 ; 474.369001 1
+  |  LS: AG 2 ; 8.33463023 0.5
+  |  LS: AG 1 ; 168.676874 1
+  |  LS: AG 2 ; 4.1742039 0.5
+  |  LS: AG 1 ; 49.4737591 1
+  |  LS: AG 2 ; 2.08709712 0.5
+  |  LS: AG 1 ; 23.2242612 1
+  |  LS: AG 2 ; 1.04426957 0.5
+  |  LS: AG 1 ; 7.57900986 1
+  |  LS: AG 2 ; 0.522138822 0.5
+  |  LS: AG 1 ; 1.3671474 1
+  |  LS: AG 2 ; 0.261069136 0.5
+  |  LS: AG 1 ; 1.36714928 1
+  |  LS: AG 2 ; 0.130534905 0.5
+  |  LS: AG 1 ; 2491.10469 1
+  |  LS: AG 2 ; 14.597298 0.5
+  |  LS: AG 1 ; 322.475907 1
+  |  LS: AG 2 ; 7.3080092 0.5
+  |  LS: AG 1 ; 85.3090022 1
+  |  LS: AG 2 ; 3.65690188 0.5
+  |  LS: AG 1 ; 2821.07714 1
+  |  LS: AG 2 ; 16.6423631 0.5
+  |  LS: AG 1 ; 471.476919 1
+  |  LS: AG 2 ; 8.33462156 0.5
+  |  LS: AG 1 ; 165.741842 1
+  |  LS: AG 2 ; 4.17419609 0.5
+  |  LS: AG 1 ; 45.5635464 1
+  |  LS: AG 2 ; 2.08709026 0.5
+  |  LS: AG 1 ; 21.6448548 1
+  |  LS: AG 2 ; 1.04426441 0.5
+  |  LS: AG 1 ; 5.91407226 1
+  |  LS: AG 2 ; 0.522134295 0.5
+  |  LS: AG 1 ; 414.586963 1
+  |  LS: AG 2 ; 0.115991832 0.5
+  |  LS: AG 1 ; 91.2797742 1
+  |  LS: AG 2 ; 0.0579959158 0.5
