MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,conv,N_pct,comp_NcMap,comp_WcMap,W_stack,PR_stack,stall_index,stall_row,SM_peak,case,igv_deg,bleed,A8_scale,ok,max_igv
1e-06,0.0,685.5678165313399,685.5682940226828,0.0004774913428914861,1.4031047399515497,0.024238560573599653,0.12727963005388515,0.01641120002610411,5.247867820330575,5.410951433048954,98.27078447134056,288.1500000000577,531.7384420620451,539.7898201253715,505.15151995894286,1169.030288791389,161.20670956840283,956.5816731097361,3.133563865371237,359.16691638346487,1.4467126576878706,1.5909918047024159,490.5287413777877,70.1613293171104,100000.0,0.6988685154303044,0.752653985047217,1.7717467016758606e-12,1.4001452291610537,1004.4167849535459,1.382434809347688,1037.646101928065,1.3120994722836943,1206.6794646817648,1.3277049430659187,1162.8975373531127,True,100.0,1.035387503411308,3.1895074974127486,1.408604190231052,5.616680967201161,0.8960907811315477,S6,0.10633111969936104,V15_B10_N2at80,22.37071526248297,0.0,1.0,False,37.370715262482975
1e-06,0.0,630.2233918031122,630.2238567965384,0.00046499342610417557,1.366379704943364,0.022234059796011476,0.1270067349239988,0.01545862890805043,5.0111193305345765,5.166845707830223,98.2707844713405,288.1500000000577,507.7499809508547,528.5035874039866,482.3624819033119,1126.2394770309531,155.66221637783735,921.5940102177995,3.098776910207151,333.79864496432435,1.4088462237093164,1.536271729768472,463.4837054813194,70.16132931713133,97500.0,0.7073091787586907,0.7536772758076131,3.604413237508936e-11,1.4001452291610537,1004.4167849535459,1.38363190466783,1035.3103509106095,1.3155571588526263,1196.6062584811061,1.3313259698088018,1153.3311791954884,True,97.5,1.0095028158260253,3.106024938223763,1.3717352119388841,5.312671758061501,0.8605984854807328,S6,0.11144203796223806,V15_B10_N2at80,22.37071526248297,0.0,1.0,True,37.370715262482975
1e-06,0.0,504.57987571571175,504.580331664716,0.0004559490042891719,1.3398027390827771,0.020172418626597577,0.14392311416055548,0.01589271907659676,4.42098227934467,4.558369459541225,98.2707844713406,288.1500000000577,447.9545426993171,509.10684482688237,425.55681556435115,1124.9853735539946,143.56693257600062,927.0787113618563,2.9641701464860115,285.3075086025572,1.3814432566900625,1.4169001644858186,420.31255979605015,70.16132948882888,95000.0,0.6977460680154888,0.755762619827239,6.46581757577888e-08,1.4001452291610537,1004.4167849535459,1.3856677470371987,1031.3485813755358,1.3153513373433228,1197.1986784843866,1.330558141670294,1155.3394133141783,True,95.0,0.9836181282407426,3.0456107514156168,1.3450540780157354,4.972290140134606,0.932965808756801,S6,0.11842023468063623,V15_B10_N2at80,22.37071526248297,0.1,1.0,True,37.370715262482975
1e-06,0.0,385.6055989568838,385.6060443230888,0.0004453662049732202,1.3087052624411064,0.01699946950342968,0.15870643574132767,0.013711173165432227,4.139259147087756,4.267891452396494,98.2707844713407,288.1500000000577,419.40904106553313,498.01744800746997,398.4385890122565,1037.9187094057352,127.84551292810175,846.0474611154119,3.116562950757074,264.5088725086948,1.3493792832754952,1.2617413001168507,329.54787053905915,81.854884261759,92500.0,0.695762848254886,0.7503158299546615,2.088134153970953e-09,1.4001452291610537,1004.4167849535459,1.386764818206705,1029.2467229071306,1.3230452950311162,1175.544965731932,1.3394357564277237,1132.6578999649087,True,92.5,0.9577334406554598,2.974920636789779,1.3138347152299008,4.4665923324414845,0.8485073926104115,R4,0.15376422689335634,V15_B10_N2at80,22.37071526248297,0.1,1.166666666666666,True,37.370715262482975
1e-06,0.0,302.4942962448004,302.49472581574,0.00042957093965595547,1.2622909934383637,0.015030263946773207,0.17887593544770392,0.012568638050143476,3.890076633414846,4.010965301507992,98.2707844713405,288.1500000000577,394.16070666651717,487.8827463739814,374.4526713331913,987.6371506106182,118.8049964245023,802.9313008437041,3.1518259551579284,242.63131053356867,1.3015224778983625,1.1725180432938618,268.32714534255916,93.54843909043139,90000.0,0.6949728656923365,0.7472864293614511,4.789867784948816e-11,1.4001452291610537,1004.4167849535459,1.3877674372313926,1027.3258204589315,1.327752998622612,1162.7882500214505,1.344486645848809,1120.2719094546187,True,90.0,0.9318487530701771,2.8694127194148553,1.2672385261200068,4.0930184592530185,0.8319571978478688,R4,0.17543882070944972,V15_B10_N2at80,23.148625845189663,0.1,1.333333333333333,True,37.370715262482975
1e-06,0.0,237.12716866880865,237.1275803594149,0.0004116906062686192,1.2097497675058406,0.013214216705730194,0.200614633943825,0.011529938034049838,3.6308172056041617,3.74364908462292,98.27078447134062,288.1500000000577,367.8913323313106,475.8096617547864,349.49676571474504,938.7053899157994,113.5051428178277,763.3033131722312,3.079127139425538,218.27901316461916,1.2473482922922003,1.120212381346988,219.704291668525,105.2419939759711,87500.0,0.69517472865563,0.7520998086277282,7.08354833518081e-12,1.4001452291610537,1004.4167849535459,1.3889433262371704,1025.0785243467044,1.3325277991495874,1150.2309790552558,1.3493245541162517,1108.737969192533,True,87.5,0.9059640654848945,2.7499771354107483,1.2144913655545124,3.807703801239515,0.8471165240159897,R1,0.18112733443270002,V15_B10_N2at80,24.25796959884463,0.1,1.5,True,37.370715262482975
1e-06,0.0,189.77527018425323,189.77566334116028,0.00039315690704908973,1.1552886309619095,0.011929588913548264,0.2263019836413716,0.01089973839931695,3.404452388650241,3.510249716989548,98.27078447134042,288.1500000000577,344.9549933788636,465.5963827349864,327.7072437099204,906.186397715816,110.04731312627885,739.1673479154216,2.977875919004743,196.99557515934836,1.1911945260431531,1.0860861423335264,184.23523532637648,116.93554886207066,85000.0,0.6921228174977121,0.7552311856293663,1.995665990600513e-12,1.4001452291610537,1004.4167849535459,1.3898577753692232,1023.3554745879838,1.335787915393765,1141.8541019073575,1.3523603707704275,1101.6628199551906,True,85.0,0.8800793778996118,2.6261772519248736,1.1598167693136272,3.5610837164283473,0.8680643391331995,R1,0.17888798296981578,V15_B10_N2at80,25.367313352499608,0.1,1.666666666666667,True,37.370715262482975
1e-06,0.0,154.91722528207742,154.9175991050355,0.00037382295806765505,1.09847596647765,0.01109753481947457,0.2578869152695214,0.01066392428159323,3.2048571277319344,3.3044518005649572,98.27078447134053,288.1500000000577,324.7310706892521,455.99767047658116,308.49451715478943,888.8363666588621,107.72312741664955,730.3864217369754,2.8637723815945293,177.07014501024517,1.1326161473333836,1.0631481366728268,158.21009577587955,128.6291037480634,82500.0,0.6912184522722169,0.7537516839376184,4.157528597273327e-11,1.4001452291610537,1004.4167849535459,1.3907171951671238,1021.736111264465,1.3374916345231207,1137.5241987597274,1.3534839044799292,1099.0726659197442,True,82.5,0.854194690314329,2.497031925734327,1.1027814283500694,3.351367132056365,0.8969854545858714,S1,0.1625983158769364,V15_B10_N2at80,26.476657106154583,0.1,1.833333333333334,True,37.370715262482975
1e-06,0.0,127.27422608945038,127.27458029301962,0.00035420356924895617,1.0408245391663808,0.0104061705195181,0.29434249982346083,0.010553451317292468,3.0158275778143557,3.109547936932452,98.27078447134065,288.1500000000577,305.57771511359095,447.57169639875883,290.2988293579114,877.1429816570106,106.11159048519798,726.4702957719638,2.7357881267306663,159.26151975740964,1.0731729373932142,1.0472434509572845,137.19415843017987,140.32265863617474,80000.0,0.685049049582274,0.7526041828701168,1.4062651134715407e-11,1.4001452291610537,1004.4167849535459,1.391471612499991,1020.3145980112902,1.3386527196648235,1134.6239092654441,1.3539884853606874,1097.91077231726,True,80.0,0.8283100027290463,2.365979941937171,1.0449040370398095,3.1440028225750187,0.9284603144967063,S1,0.14936566128958617,V15_B10_N2at80,27.586000859809555,0.1,2.0,True,37.370715262482975
1e-06,0.0,114.23499362971405,114.23532691002157,0.00033328030752194257,0.9793416910656324,0.009996645714643823,0.31503415397711215,0.010774599935116784,2.84090358134854,2.929187973275491,98.2707844713406,288.1500000000577,287.85359999779877,439.43397395599396,273.46091999790883,878.2597832113452,105.66000719170182,735.5761830709326,2.5881213456834358,142.1355001739722,1.009779227682616,1.0427866555732077,130.84062950174356,140.32265863425496,77500.0,0.6801719757865272,0.7501226272164535,1.861604156617056e-12,1.4001452291610537,1004.4167849535459,1.392154194898865,1019.0370152788594,1.3383981593157925,1135.261672635931,1.3528393328094572,1100.558151022957,True,77.5,0.8024253151437636,2.226218454860736,0.9831802077374846,2.968327094348188,0.9660175786337218,S1,0.11916133288786113,V15_B10_N2at80,28.695344613464528,0.1,2.0,True,37.370715262482975
