config,max_throttle_pct,Fn_max_N,SM_at_max,idle_pct,Fn_idle_N,Wf_idle_gps,first_fail_below
V0_B0_N1.3,97.5,630.2233918030677,0.1114420379622858,95.0,572.6875274705166,20.287239220180002,"92.5 %: conv True, T4 1047, si 0.86 (R1), SM +0.097"
V0_B0_N1.6,97.5,630.2233918030677,0.1114420379622858,92.5,499.7780240139145,18.15806092488,"90.0 %: conv True, T4 1011, si 0.91 (R1), SM +0.084"
V0_B10_N1,97.5,630.2233918031122,0.111442037962238,87.5,396.2286706556801,16.689446028240198,"85.0 %: conv True, T4 1037, si 0.92 (R1), SM +0.094"
V0_B15_N1,97.5,630.2233918031096,0.1114420379622387,97.5,630.2233918031096,22.2340597960112,"95.0 %: conv True, T4 1159, si 0.97 (R5), SM +0.136"
V0_B20_N1.6,97.5,630.2233918031063,0.1114420379622387,97.5,630.2233918031063,22.234059796011,"95.0 %: conv True, T4 1207, si 1.03 (R4), SM +0.162"
V0_B20_N1,97.5,630.2233918031063,0.1114420379622387,97.5,630.2233918031063,22.234059796011,"95.0 %: conv True, T4 1207, si 1.03 (R4), SM +0.162"
V15_B0_N1,97.5,630.2233918030677,0.1114420379622858,95.0,572.6875274705166,20.287239220180002,"92.5 %: conv True, T4 1056, si 0.87 (R1), SM +0.092"
V15_B10_N1.6,97.5,630.2233918031122,0.111442037962238,80.0,231.04649573734463,12.16109549458,"77.5 %: conv True, T4 944, si 0.98 (S1), SM +0.077"
V15_B10_N1.6at80,97.5,630.2233918031122,0.111442037962238,77.5,144.81849292069734,10.4259086156176,"75.0 %: conv True, T4 901, si 1.01 (S1), SM +0.086"
V15_B10_N1,97.5,630.2233918031122,0.111442037962238,85.0,348.48405372312027,15.2515798585226,"82.5 %: conv True, T4 1010, si 0.92 (S1), SM +0.087"
V15_B10_N2.5at80,97.5,630.2233918031122,0.111442037962238,77.5,90.67017431375062,9.7489166097057,"75.0 %: conv True, T4 871, si 1.00 (S1), SM +0.107"
V15_B10_N2at80,97.5,630.2233918031122,0.111442037962238,77.5,114.23499362971404,9.9966457146438,"75.0 %: conv True, T4 884, si 1.00 (S1), SM +0.098"
V30_B0_N1.6,97.5,630.2233918030677,0.1114420379622858,92.5,499.7780240139145,18.15806092488,"90.0 %: conv True, T4 1005, si 0.90 (S1), SM +0.098"
V30_B0_N1,97.5,630.2233918030677,0.1114420379622858,95.0,572.6875274705166,20.287239220180002,"92.5 %: conv True, T4 1056, si 0.87 (R1), SM +0.092"
V30_B10_N1.6,97.5,630.2233918031122,0.111442037962238,80.0,221.6465664595407,11.8084631401484,"77.5 %: conv True, T4 937, si 0.98 (S1), SM +0.089"
V30_B10_N1,97.5,630.2233918031122,0.111442037962238,85.0,338.3319270365772,14.9246651208403,"82.5 %: conv True, T4 1004, si 0.92 (S1), SM +0.093"
V30_B15_N1,97.5,630.2233918031096,0.1114420379622387,97.5,630.2233918031096,22.2340597960112,"95.0 %: conv True, T4 1159, si 0.97 (R5), SM +0.136"
V45_B10_N1,97.5,630.2233918031122,0.111442037962238,82.5,287.65972426998985,13.488173939081499,"80.0 %: conv True, T4 988, si 0.95 (S1), SM +0.090"
V0_B0_N1,97.5,630.2233918030677,0.1114420379622858,95.0,572.6875274705166,20.287239220180002,"92.5 %: conv True, T4 1056, si 0.87 (R1), SM +0.092"
