config,max_throttle_pct,Fn_max_N,SM_at_max,idle_pct,Fn_idle_N,Wf_idle_gps,first_fail_below
V0_B0_N1.3,97.5,630.2233918030677,0.1114420379622858,87.5,392.3500250706122,15.6373898107732,"85.0 %: conv True, T4 1009, si 1.05 (R1), SM +0.022"
V0_B0_N1.6,97.5,630.2233918030677,0.1114420379622858,87.5,374.0319504964666,15.142022678957101,"85.0 %: conv True, T4 987, si 1.04 (R1), SM +0.034"
V0_B10_N1,97.5,630.2233918031122,0.111442037962238,82.5,319.6738201719878,14.499290302526902,"80.0 %: conv True, T4 1021, si 1.02 (R1), SM +0.052"
V0_B15_N1,97.5,630.2233918031096,0.1114420379622387,97.5,630.2233918031096,22.2340597960112,"95.0 %: conv True, T4 1159, si 0.97 (R5), SM +0.136"
V0_B20_N1.6,97.5,630.2233918031063,0.1114420379622387,97.5,630.2233918031063,22.234059796011,"95.0 %: conv True, T4 1207, si 1.03 (R4), SM +0.162"
V0_B20_N1,97.5,630.2233918031063,0.1114420379622387,97.5,630.2233918031063,22.234059796011,"95.0 %: conv True, T4 1207, si 1.03 (R4), SM +0.162"
V15_B0_N1,97.5,630.2233918030677,0.1114420379622858,90.0,464.5914110105708,17.350220545848597,"87.5 %: conv True, T4 1022, si 0.96 (R1), SM +0.049"
V15_B10_N1.6,97.5,630.2233918031122,0.111442037962238,77.5,200.04264785661005,11.4064882207485,"75.0 %: conv True, T4 948, si 1.02 (S1), SM +0.057"
V15_B10_N1,97.5,630.2233918031122,0.111442037962238,80.0,277.787561799236,13.393624412653,"77.5 %: conv True, T4 1002, si 1.00 (S1), SM +0.044"
V30_B0_N1,97.5,630.2233918030677,0.1114420379622858,87.5,402.2613599115359,15.780048285772502,"85.0 %: conv True, T4 1010, si 1.00 (S1), SM +0.034"
V30_B10_N1.6,97.5,630.2233918031122,0.111442037962238,77.5,191.8943660599996,11.0980128939903,"75.0 %: conv True, T4 930, si 1.02 (S1), SM +0.077"
V30_B10_N1,97.5,630.2233918031122,0.111442037962238,77.5,235.49180032363049,12.205191237076699,"75.0 %: conv True, T4 993, si 1.04 (S1), SM +0.039"
V30_B15_N1,97.5,630.2233918031096,0.1114420379622387,97.5,630.2233918031096,22.2340597960112,"95.0 %: conv True, T4 1159, si 0.97 (R5), SM +0.136"
V45_B10_N1,97.5,630.2233918031122,0.111442037962238,77.5,221.82961225978372,11.810000627258301,"75.0 %: conv True, T4 985, si 1.04 (S1), SM +0.050"
V0_B0_N1,97.5,630.2233918030677,0.1114420379622858,90.0,467.2343600177098,17.4609594709969,"87.5 %: conv True, T4 1030, si 0.99 (R1), SM +0.041"
