case,mode,MN,alt_m,Fn_N,Nmech_pct,T4_K,W_kgps,TSFC_kgpNh,OPR,converged
A: design SLS 500N,T4,0.0,0.0,500.00000055371396,99.99999999179154,1150.0,0.86483686603561,0.10992677949469129,3.9999999991939115,True
A: design SLS 500N,T4,1.0,0.0,544.7705680851029,104.66211213862606,1149.9999999859274,1.3791826625454824,0.1475334970611763,3.3829299873825476,True
A: design SLS 500N,T4,1.0,3000.0,427.7223719808997,102.7177764901712,1150.0,1.0104609155638553,0.14274800016819844,3.5986472476240214,True
A: design SLS 500N,T4,1.0,6000.0,335.90430603034144,100.82300803936288,1149.9999999478541,0.7359149888476819,0.13709707054668813,3.8574005570526535,True
A: design SLS 500N,DESIGN,1e-06,0.0,500.00000040288825,100.0,1150.0,0.864836866091663,0.10992677953215022,4.0,True
A: design SLS 500N,N,0.0,0.0,500.000000652117,100.0,1150.0000001099875,0.8648368660891371,0.10992677949612535,4.000000000124907,True
A: design SLS 500N,N,1.0,0.0,308.85268797862454,100.0,926.5425327766462,1.2451999005346392,0.1553253956391503,2.7748371478531046,True
A: design SLS 500N,N,1.0,3000.0,324.65583089520703,100.0,1013.7717713156966,0.9586685055639164,0.14216915322416496,3.2239989066871546,True
A: design SLS 500N,N,1.0,6000.0,314.03936810622395,100.0,1112.0010050191984,0.7247457362381525,0.13633849954138974,3.7397315348631297,True
B: design M1 @ 0 km 500N,T4,0.0,0.0,453.2938690718687,105.34500634073008,1149.9999999752388,0.7902908338334828,0.1047892965991639,4.788670299489314,True
B: design M1 @ 0 km 500N,T4,1.0,0.0,314.72812287746547,734384.3244093232,258.9267348780471,0.04535923700264026,5.18839093407066e-05,43688351.99331577,False
B: design M1 @ 0 km 500N,T4,1.0,3000.0,255.9888124278623,734384.3244093232,264.2301534330277,0.04535923700264026,6.378921500306382e-05,43688351.99331578,False
B: design M1 @ 0 km 500N,T4,1.0,6000.0,205.24393891234004,734384.3244093232,261.1026564772681,0.04535923700264026,7.95605730472126e-05,43688351.99331578,False
B: design M1 @ 0 km 500N,DESIGN,1.0,0.0,500.00000053258526,100.0,1150.0,1.2745437150944592,0.14183824461460376,4.0,True
B: design M1 @ 0 km 500N,N,0.0,0.0,416.2908214291892,100.0,1094.8865076853936,0.7726764046508814,0.10321933623003215,4.531648047359341,True
B: design M1 @ 0 km 500N,N,1.0,0.0,499.99984742649553,100.0,1149.9998104255583,1.2745437209651558,0.14183824072343906,3.999999769126019,True
B: design M1 @ 0 km 500N,N,1.0,3000.0,381.97530348601623,100.0,1136.956445494488,0.9289764356695371,0.13722159377688176,4.23280068454697,True
B: design M1 @ 0 km 500N,N,1.0,6000.0,284.72009723885685,100.0,1115.3783226612027,0.6654715278996358,0.13206026379621857,4.447859119962892,False
B: design M1 @ 3 km 500N,T4,0.0,0.0,580.2504994892329,102.14509943726769,1150.0,1.0045130622327902,0.10662604976701583,4.460927174767111,True
B: design M1 @ 3 km 500N,T4,1.0,0.0,630.6762293418217,101.50060512181987,1150.0,1.6041076976939812,0.14428491373158925,3.730821699039135,True
B: design M1 @ 3 km 500N,T4,1.0,3000.0,500.00000053286254,100.00000000002382,1150.0,1.1832413222330715,0.13923152386332394,3.9999999999984075,True
B: design M1 @ 3 km 500N,T4,1.0,6000.0,388.7503918164196,100.4990421415194,1150.0,0.8579361995628398,0.13419670324719454,4.292801316444458,True
B: design M1 @ 3 km 500N,DESIGN,1.0,3000.0,499.9996820555925,100.0,1150.0,1.183241116847649,0.1392315883799009,4.0,True
B: design M1 @ 3 km 500N,N,0.0,0.0,561.7835054606978,100.0,1127.5709919314168,0.996329174796972,0.10592446103201052,4.366968740481386,True
B: design M1 @ 3 km 500N,N,1.0,0.0,547.5950933668774,100.0,1081.613662702561,1.5595382887341769,0.1442523030656984,3.525335622555659,True
B: design M1 @ 3 km 500N,N,1.0,3000.0,499.99999951696464,100.0,1149.999998668606,1.1832413222711071,0.13923152383625617,3.999999998371285,True
B: design M1 @ 3 km 500N,N,1.0,6000.0,382.9247840193248,100.0,1141.149683495952,0.8547214969950462,0.1340293805836572,4.258210154665118,True
B: design M1 @ 6 km 500N,T4,0.0,0.0,740.9827587387454,100.12826457654099,1150.0,1.2776449163139492,0.1086415485935774,4.136378173664456,True
B: design M1 @ 6 km 500N,T4,1.0,0.0,800.5419434589487,103.2917025982847,1150.000002128669,2.028440879919211,0.14671211579859827,3.4704176733474994,True
B: design M1 @ 6 km 500N,T4,1.0,3000.0,632.1258374945832,101.58169302247335,1150.0,1.4920338490206497,0.14163437559269706,3.708430368478439,True
B: design M1 @ 6 km 500N,T4,1.0,6000.0,500.0000011700096,100.00000068557573,1150.0000018709013,1.092650348243615,0.13569348307602477,4.000000089315368,True
B: design M1 @ 6 km 500N,DESIGN,1.0,6000.0,500.00000053233725,100.0,1150.0,1.0926503455516767,0.13569348318918661,4.0,True
B: design M1 @ 6 km 500N,N,0.0,0.0,738.3318494319718,100.0,1147.7700902084891,1.2764302170091368,0.1085885530404278,4.127910973612417,True
B: design M1 @ 6 km 500N,N,1.0,0.0,551.2900337109754,100.0,988.0529205199676,1.8927442417349816,0.14932636387267378,3.0229524701100985,True
B: design M1 @ 6 km 500N,N,1.0,3000.0,551.4598205725255,100.0,1081.2568768054134,1.4481413457636816,0.14125480581214928,3.497052958565313,True
B: design M1 @ 6 km 500N,N,1.0,6000.0,499.99972183170735,100.0,1149.9996067395418,1.0926503564483823,0.1356934739003175,3.999999497176794,True
