candidate,drag_margin,rise,fuel_kg,time_to_M1_s
A: low dash 1 km,0.6,1.5,0.7839434617064523,17.599999999999966
A: low dash 1 km,0.6,2.0,0.7661566553675683,16.79999999999997
A: low dash 1 km,0.6,3.0,0.7527837702005522,16.199999999999974
A: low dash 1 km,0.75,1.5,0.8425974052780516,19.19999999999996
A: low dash 1 km,0.75,2.0,0.8203803900690092,18.199999999999967
A: low dash 1 km,0.75,3.0,0.802584685639163,17.39999999999997
A: low dash 1 km,0.9,1.5,0.9410014760479286,22.59999999999995
A: low dash 1 km,0.9,2.0,0.9009186060166652,20.799999999999955
A: low dash 1 km,0.9,3.0,0.8742845934177559,19.599999999999966
B: mid dash 3 km,0.6,1.5,1.0666700075989008,22.799999999999955
B: mid dash 3 km,0.6,2.0,1.0458608243869827,21.799999999999955
B: mid dash 3 km,0.6,3.0,1.0205491329491483,20.599999999999966
B: mid dash 3 km,0.75,1.5,1.1294568266464164,24.799999999999955
B: mid dash 3 km,0.75,2.0,1.1042847865824226,23.599999999999937
B: mid dash 3 km,0.75,3.0,1.0709566162554656,21.999999999999943
B: mid dash 3 km,0.9,1.5,1.2374979545694376,28.999999999999943
B: mid dash 3 km,0.9,2.0,1.1876381148683597,26.599999999999937
B: mid dash 3 km,0.9,3.0,1.1458948994061022,24.599999999999937
C: mid dash 5 km,0.6,1.5,1.3667771395901718,30.39999999999992
C: mid dash 5 km,0.6,2.0,1.3370160319836328,28.799999999999955
C: mid dash 5 km,0.6,3.0,1.302324455251366,26.999999999999943
C: mid dash 5 km,0.75,1.5,1.4539173355581456,33.99999999999994
C: mid dash 5 km,0.75,2.0,1.4011015994312919,31.199999999999932
C: mid dash 5 km,0.75,3.0,1.3558726468076985,28.799999999999955
C: mid dash 5 km,0.9,1.5,1.5853753632075653,40.0
C: mid dash 5 km,0.9,2.0,1.5026021259684441,35.599999999999966
C: mid dash 5 km,0.9,3.0,1.4392818979856863,32.19999999999993
D: high dash 10 km,0.6,1.5,2.0782333559569013,60.00000000000034
D: high dash 10 km,0.6,2.0,2.0122087815799663,55.400000000000205
D: high dash 10 km,0.6,3.0,1.9638071693770367,51.80000000000018
D: high dash 10 km,0.75,1.5,2.1847053065212862,67.60000000000036
D: high dash 10 km,0.75,2.0,2.0885706835891775,60.600000000000364
D: high dash 10 km,0.75,3.0,2.012966306606595,55.20000000000027
D: high dash 10 km,0.9,1.5,2.344047741299987,79.80000000000064
D: high dash 10 km,0.9,2.0,2.200250619651644,69.2000000000005
D: high dash 10 km,0.9,3.0,2.0908765622158154,61.20000000000027
