segment,time_s,dist_km,fuel_kg,Treq_max_N,Tavail_min_N,excess_min_N,V_LOF_mps,CL_rot,drag_case,mass_case,TOGW_kg,roc_min_mps,acc_min_mps2,throttle_frac,D_over_Tmax,note
0 ground roll to V_LOF,1.5000000000000002,0.04011426333955382,0.030089470584567124,21.011578694071538,616.487070227526,595.4754915334545,46.83347778890818,0.5499944707758836,nominal drag,design TOGW,18.680661597938705,,,,,
1 level accel 300 m to M0.70,7.199999999999985,1.0899156923745295,0.15489512935049987,192.93254722221909,567.4141249304189,385.10348651009724,,,nominal drag,design TOGW,18.680661597938705,,,,,
2 climb M0.70 to 5 km,10.100000000000012,2.3291191245204876,0.19077996634768013,193.2728310827649,406.16732018462636,291.06464631658315,,,nominal drag,design TOGW,18.680661597938705,389.2239654960404,,,,
3 level accel to M1.02 @ 5 km,7.100000000000101,1.9811626144684655,0.12112736868510865,324.2301761690744,405.7465934185443,167.4813496298653,,,nominal drag,design TOGW,18.680661597938705,,9.209509411667282,,,
4 hold M1.02 7 s,7.0,2.28858039454368,0.08993735311507223,327.7008001695585,492.1458227562515,164.44502258669303,,,nominal drag,design TOGW,18.680661597938705,,,0.6658611838545689,0.6658611838545689,
5 turn-back + idle descent,235.0,45.19465485023234,0.46654268357880113,183.95505118828493,449.2708891426571,265.31583795437217,,,nominal drag,design TOGW,18.680661597938705,,,,,Treq = 3 g sustained turn at M0.90/5 km
6 pattern + landing,60.0,0.0,0.23823456182747194,,,,,,nominal drag,design TOGW,18.680661597938705,,,,,
0 ground roll to V_LOF,2.3000000000000007,0.06834981685605208,0.04621506044139778,28.00407327595975,611.8489249992433,583.8448517232836,54.17891291779842,0.5499944707758836,nominal drag,25 kg ceiling,25.0,,,,,
1 level accel 300 m to M0.70,9.299999999999974,1.4242215501469062,0.2004957367454594,192.17810591703932,567.2187327350275,386.16432590935136,,,nominal drag,25 kg ceiling,25.0,,,,,
2 climb M0.70 to 5 km,13.500000000000112,3.1132019333219914,0.25528611955904523,193.64458501870158,406.26937647251845,290.47435182787694,,,nominal drag,25 kg ceiling,25.0,290.25368843026143,,,,
3 level accel to M1.02 @ 5 km,9.500000000000135,2.647960094855551,0.1620910942320961,325.095259066133,405.7465934185443,166.63827466190207,,,nominal drag,25 kg ceiling,25.0,,6.846880295384243,,,
4 hold M1.02 7 s,7.0,2.288580394543679,0.09012605614204006,328.38836913606013,492.1458227562515,163.75745362019137,,,nominal drag,25 kg ceiling,25.0,,,0.6672582676754799,0.6672582676754799,
5 turn-back + idle descent,235.00000000000003,45.19465485023234,0.46654268357880113,187.48077379388556,449.2708891426571,261.79011534877156,,,nominal drag,25 kg ceiling,25.0,,,,,Treq = 3 g sustained turn at M0.90/5 km
6 pattern + landing,60.0,0.0,0.23823456182747194,,,,,,nominal drag,25 kg ceiling,25.0,,,,,
0 ground roll to V_LOF,1.5000000000000002,0.04011426333955382,0.030089470584567124,21.011578694071538,616.487070227526,595.4754915334545,46.83347778890818,0.5499944707758836,pessimistic drag (E_WD 3.0),design TOGW,18.680661597938705,,,,,
1 level accel 300 m to M0.70,7.199999999999985,1.0899156923745295,0.15489512935049987,192.93254722221909,567.4141249304189,385.10348651009724,,,pessimistic drag (E_WD 3.0),design TOGW,18.680661597938705,,,,,
2 climb M0.70 to 5 km,10.100000000000012,2.3291191245204876,0.19077996634768013,193.2728310827649,406.16732018462636,291.06464631658315,,,pessimistic drag (E_WD 3.0),design TOGW,18.680661597938705,389.2239654960404,,,,
3 level accel to M1.02 @ 5 km,7.400000000000105,2.0780826611454954,0.12685717326906953,392.95327468017956,405.7465934185443,98.93769443410224,,,pessimistic drag (E_WD 3.0),design TOGW,18.680661597938705,,5.4421269133720065,,,
4 hold M1.02 7 s,7.0,2.28858039454368,0.10872717958575606,396.16446911489396,492.1458227562515,95.98135364135754,,,pessimistic drag (E_WD 3.0),design TOGW,18.680661597938705,,,0.8049737512678333,0.8049737512678333,
5 turn-back + idle descent,235.0,45.19465485023234,0.46654268357880113,183.9537410606884,449.2708891426571,265.3171480819687,,,pessimistic drag (E_WD 3.0),design TOGW,18.680661597938705,,,,,Treq = 3 g sustained turn at M0.90/5 km
6 pattern + landing,60.0,0.0,0.23823456182747194,,,,,,pessimistic drag (E_WD 3.0),design TOGW,18.680661597938705,,,,,
0 ground roll to V_LOF,2.3000000000000007,0.06834981685605208,0.04621506044139778,28.00407327595975,611.8489249992433,583.8448517232836,54.17891291779842,0.5499944707758836,pessimistic drag (E_WD 3.0),25 kg ceiling,25.0,,,,,
1 level accel 300 m to M0.70,9.299999999999974,1.4242215501469062,0.2004957367454594,192.17810591703932,567.2187327350275,386.16432590935136,,,pessimistic drag (E_WD 3.0),25 kg ceiling,25.0,,,,,
2 climb M0.70 to 5 km,13.500000000000112,3.1132019333219914,0.25528611955904523,193.64458501870158,406.26937647251845,290.47435182787694,,,pessimistic drag (E_WD 3.0),25 kg ceiling,25.0,290.25368843026143,,,,
3 level accel to M1.02 @ 5 km,9.90000000000014,2.7771293815273084,0.16972733206231183,392.98585737807855,405.7465934185443,98.85307596056282,,,pessimistic drag (E_WD 3.0),25 kg ceiling,25.0,,4.062977704870675,,,
4 hold M1.02 7 s,7.0,2.28858039454368,0.10891576483687615,396.85160894668695,492.1458227562515,95.29421380956455,,,pessimistic drag (E_WD 3.0),25 kg ceiling,25.0,,,0.8063699631221668,0.8063699631221668,
5 turn-back + idle descent,235.0,45.19465485023234,0.46654268357880113,187.47413009801696,449.2708891426571,261.7967590446401,,,pessimistic drag (E_WD 3.0),25 kg ceiling,25.0,,,,,Treq = 3 g sustained turn at M0.90/5 km
6 pattern + landing,60.0,0.0,0.23823456182747194,,,,,,pessimistic drag (E_WD 3.0),25 kg ceiling,25.0,,,,,
