label,level,eta_c,eta_t,W,TSFC_dash,D_engine_mm,D_comp,D_comb,D_turb,D_engine_comb_hi_mm,L_engine_cal,dry_mass_kg,dry_mass_cal,dry_mass_cal_hi,CDS_nom,CDS_hi,drag_nom,drag_hi,margin_nom,margin_hi,TOGW_cal,TOGW_cal_hi
AXIAL OPR 4 55k,fielded,0.7499691243563567,0.75,1.24546532031293,0.1573924618632906,183.45756666944857,148.72263265431815,169.0101533312801,183.45756666944857,183.45756666944857,740.6855255994519,7.686510441655327,9.531272947652605,10.069328678568478,79.9376811855741,95.62812533024274,315.45059817501954,377.1793210700976,0.5850342441420804,0.3256294089080929,21.566851806621735,22.104907537537606
AXIAL OPR 5 65k,fielded,0.7414138191681281,0.75,1.293078142045945,0.1534503810227491,161.22369302319112,148.0817892370129,141.74891082393685,161.22369302319112,161.22369302319112,666.5188944304807,6.493689133763974,8.052174525867327,8.506732765230806,68.41467943777064,78.02166092613268,269.9765002093171,307.77190566026775,0.8520124819123984,0.6245792387645757,19.811808295591153,20.26636653495463
AXIAL OPR 5 65k capT,fielded,0.7413945985966468,0.75,1.2931133399022985,0.1534531068157188,150.75015310607594,148.0699327980347,141.74922581609397,150.75015310607594,152.29893250422708,662.8681914576434,5.873062817229776,7.2825978933649225,7.693712290571007,64.14224031048064,71.60981550953053,253.10173154555704,282.48036964592825,0.9754896376490604,0.7700339622395751,18.93469179288429,19.345806190090375
AXIAL OPR 6 55k,fielded,0.73722480739381,0.75,1.3493763825977536,0.1513701949418352,192.5830202709844,154.64438186852522,123.21853816458534,192.5830202709844,192.5830202709844,734.9358898774444,9.07849471446575,11.25733344593753,11.892828075950133,85.7866383163116,104.68298313339172,338.61167815891304,412.9529282974392,0.4766176485343603,0.2107917045914515,23.318698006269393,23.954192636281995
AXIAL OPR 6 55k capT,fielded,0.7373303623966019,0.75,1.3490236503628965,0.1513408028036984,154.6979705937849,154.58572987880345,123.20659548839068,154.6979705937849,154.6979705937849,719.964954022381,6.406445701332375,7.943992669652145,8.392443868745412,65.67488493733849,73.90031552377583,259.1818957787067,291.54205847909867,0.9291470020568428,0.7150183401917198,19.61216216330453,20.060613362397795
CENTRIF OPR 4 75k,fielded,0.7,0.75,1.325754281450162,0.1641596057029662,194.95652555382588,194.95652555382588,169.88890015791276,140.81269756208988,194.95652555382588,501.75856998591297,6.448155756786205,7.995713138414894,8.447084041389928,87.42732934283727,107.23351654059056,344.811897068273,422.73261300629696,0.4500658773201107,0.1827806766005753,20.229660886779698,20.681031789754734
CENTRIF OPR 4 85k,fielded,0.7,0.75,1.325754281450162,0.1641596057029662,175.05134087610764,175.05134087610764,169.88890015791276,123.91484415332516,182.578188590446,473.93033129639275,5.298382670395402,6.5699945112902975,6.940881298217977,75.15325371408606,88.27353081081648,296.3995761870817,348.0168498437934,0.6869118791085136,0.4367119473012324,18.59629694331428,18.96718373024196
CENTRIF OPR 5 85k,fielded,0.7,0.75,1.3837208457112655,0.1606592080734884,194.50514431169228,194.50514431169228,142.74768625349813,126.98049600801556,194.50514431169228,448.2819549330976,5.704485647731641,7.073562203187235,7.47287619852845,87.11138626168987,106.74204259692836,343.49678290413044,420.7269322863701,0.455617709661797,0.1884192858535096,19.26234975029633,19.661663745637544
AXIAL OPR 4 55k,tool,0.8505983959597717,0.93384779925731,1.0507117672149715,0.1372129553050885,168.879471253592,137.04902418795925,163.77813174931535,168.879471253592,176.00279190035278,696.3966295631099,6.249339555211157,7.749181048461835,8.186634817326617,71.9805355111867,83.42877616207232,283.97814801603295,329.01736221920817,0.7606988543534463,0.5196766410768228,19.400307811462376,19.837761580327157
AXIAL OPR 5 65k,tool,0.8409751034564197,0.9342561464078346,1.0487602655578814,0.1298500964863326,145.65327921764572,133.9073216535763,136.2978360122557,145.65327921764572,146.433049840087,617.0642022910841,5.114685793323676,6.342210383721358,6.700238389254015,63.248443088210806,68.86470583757533,249.49921891530207,271.59449701992287,1.0040142915575738,0.8409798649272322,17.66958379181866,18.027611797351316
