level,nozzle,T4,OPR,W,spec_thrust,TSFC,T5,T3,P3_kPa,NPR,comb_OD_mm,comp_power_kW,duct_dPqP
tool (TurboFlow-level),CV,1150.0,3.0,1.115266695660017,448.3232596237055,0.15206093834463533,1031.0817461495715,451.79672119633307,305.42504247207563,3.2944073517399772,207.88014561115278,161.2594575247404,0.03334055044732352
tool (TurboFlow-level),CV,1150.0,3.5,1.098110483037704,455.3275906713851,0.1450653705171524,1011.0024862353642,475.1292577264177,356.230859647503,3.518832424072318,182.57371101607745,184.975141234865,0.03360737478675513
tool (TurboFlow-level),CV,1150.0,4.0,1.0880333605954178,459.5447304693772,0.13946021492630958,992.3449728720553,496.60711552907725,407.05384474153425,3.70898218534299,163.185098573578,207.2966797289656,0.0337667411502649
tool (TurboFlow-level),CV,1150.0,4.5,1.0851100318481322,460.7827647498142,0.13524074745334783,975.3849687961873,515.9220256137196,457.91341535273426,3.8579810951151323,148.0411682824921,228.32590113746616,0.03381349818833659
tool (TurboFlow-level),CV,1150.0,5.0,1.0863321482721287,460.2643784501691,0.1318151614343217,959.5980186182343,533.765184712594,508.8029871096078,3.9789947121841722,135.78594305148516,248.6530835505563,0.033793932280266045
tool (TurboFlow-level),CV,1150.0,6.0,1.0930939486590523,457.417224850544,0.12624422970659482,931.236195758591,565.3879140862377,610.6309853839921,4.2000745435506,117.04249709758061,286.1437520756571,0.03368727162399357
tool (TurboFlow-level),CV,1250.0,3.0,1.0007499826843729,499.62529125631954,0.15864487293820353,1133.8847146784094,451.8227419951481,304.820029925031,3.427247456736771,200.20773358677087,144.7277975468719,0.03525539374558408
tool (TurboFlow-level),CV,1250.0,3.5,0.9796924962886454,510.36422387906657,0.15112313564434565,1114.3049555293517,475.15497697951884,355.4794309293054,3.7011283714989767,175.50129006899354,165.053562666287,0.035645870756358077
tool (TurboFlow-level),CV,1250.0,4.0,0.9694833160345667,515.7386334175179,0.14571180569013234,1096.1104641120987,496.64014014067754,406.180413611638,3.9201167569339312,156.80821029822,184.7429601355176,0.035840025109918974
tool (TurboFlow-level),CV,1250.0,4.5,0.9636518602967885,518.8595810111877,0.1413947400652826,1079.5741053342279,515.9662303174877,456.8997202271415,4.117589648129735,142.10211531980667,202.81310945119947,0.03595237098495038
tool (TurboFlow-level),CV,1250.0,5.0,0.9607871464945127,520.4066294004123,0.13779420032208042,1064.221038279843,533.7724398411922,507.63704002780594,4.287449270809843,130.17086205831473,219.924014445541,0.03600804102887361
tool (TurboFlow-level),CV,1250.0,6.0,0.960422975836744,520.6039558736828,0.13206677294199726,1036.5598155060693,565.4461977986648,609.15997043436,4.565621384699997,111.96024936984544,251.47229026013815,0.036015126750059356
tool (TurboFlow-level),CD,1150.0,3.0,1.1043365101705427,452.76054538139414,0.15057020437188945,1031.0797908973857,451.79900786464435,305.37187488758116,3.2938626735856635,207.169752028462,159.68161403733347,0.033508823970494664
tool (TurboFlow-level),CD,1150.0,3.5,1.0810571772770754,462.51022706505796,0.14281187867450293,1010.9995330634869,475.13268032604645,356.1308629779501,3.517811900445764,181.58573839775974,182.1063192590926,0.03387864843243947
tool (TurboFlow-level),CD,1150.0,4.0,1.0685807740330298,467.91034180123563,0.13696587095063098,992.3405787239343,496.6121323227322,406.92116115978627,3.707796124963275,162.16974983774656,203.59600545649792,0.03408169528039863
tool (TurboFlow-level),CD,1150.0,4.5,1.0623166957355112,470.66943646833903,0.1323984355451346,975.3781818719877,515.9297045729043,457.73732270103204,3.8563914669463935,146.95968981029023,223.53823570641262,0.03418504952847775
tool (TurboFlow-level),CD,1150.0,5.0,1.0609770390301565,471.2637334638201,0.12873831338646669,959.5968184966509,533.7665392434578,508.5853050535205,3.9771435995056827,134.68610864817822,242.85098181733943,0.034207305882133485
tool (TurboFlow-level),CD,1150.0,6.0,1.0626125855509263,470.53837620568805,0.12272142869061614,931.225071462622,565.4002546833162,610.319522679154,4.197593933545278,115.91063461336019,278.17819286420564,0.03418015584261855
tool (TurboFlow-level),CD,1250.0,3.0,0.9872988422721931,506.4322767583005,0.15651190988226696,1133.8819031932635,451.82610972497565,304.7417264565638,3.426321841884667,199.27098207121895,142.7859020823002,0.035503221451903356
tool (TurboFlow-level),CD,1250.0,3.5,0.9626287060840713,519.4110640701299,0.14849022336931753,1114.3014927650386,475.15909368671305,355.35915480791294,3.699906283938426,174.438676748544,162.18279461982883,0.035972159042605666
tool (TurboFlow-level),CD,1250.0,4.0,0.9477140676255613,527.5852892913332,0.14243873915642627,1096.1047205318655,496.64690924643065,406.0013850812525,3.9182863878145686,155.58479026911849,180.60125072630584,0.03626498933167045
tool (TurboFlow-level),CD,1250.0,4.5,0.9384270665500328,532.8064570496725,0.13769175850972576,1079.5652287944731,515.9765374075831,456.66335970258496,4.11513291004473,140.81051496312756,197.51423739135018,0.036451086114778514
