MN,alt_m,Fn_N,Wf_kgps,W_kgps,T4_K,N_pct,binding,Fn_Nmode,Fn_T4mode,conv_N,conv_T4,maps
0.0,0.0,672.5200656688372,0.025537946558486034,1.3528071620113051,1188.9185439568478,100.0,N,672.5200656688372,8070803517.900641,True,False,PLACEHOLDER scaled NPSS maps
0.3,0.0,580.8954283951575,0.026097517367007682,1.4220051392470325,1175.5818690628123,100.0,N,580.8954283951575,69401770200.53925,True,False,PLACEHOLDER scaled NPSS maps
0.6,0.0,589.2115094978691,0.028999744445242993,1.6368864394030382,1168.6302127070558,100.0,N,589.2115094978691,71592720684.40324,True,False,PLACEHOLDER scaled NPSS maps
0.7,0.0,564.6846019059062,0.028598226178488444,1.7148871489859456,1136.5034707400994,100.0,N,564.6846019059062,118512435684.4169,True,False,PLACEHOLDER scaled NPSS maps
0.8,0.0,543.8008733703242,0.028240736328349114,1.8120381574075062,1103.5458956159996,100.0,N,543.8008733703242,101399355500.7708,True,False,PLACEHOLDER scaled NPSS maps
0.9,0.0,535.3282774351885,0.028371737518679385,1.931553612173347,1077.893955193577,100.0,N,535.3282774351885,177161618695.23526,True,False,PLACEHOLDER scaled NPSS maps
0.95,0.0,534.7011200103586,0.028664090662029032,1.9952950808198295,1070.1595828311122,100.0,N,534.7011200103586,140518134417.11182,True,False,PLACEHOLDER scaled NPSS maps
1.0,0.0,512.0818140879682,0.027955021774347832,2.05885699653474,1044.916871074995,100.0,N,512.0818140879682,221940123529.39496,True,False,PLACEHOLDER scaled NPSS maps
1.02,0.0,506.5153838390742,0.02787883464321663,2.0842642993656737,1039.0770315318418,100.0,N,506.5153838390742,164897113591.0776,True,False,PLACEHOLDER scaled NPSS maps
1.05,0.0,493.0914929452802,0.02754566280158934,2.1224092945321242,1026.8465440578918,100.0,N,493.0914929452802,249134409019.85156,True,False,PLACEHOLDER scaled NPSS maps
0.0,1000.0,614.2206707602966,0.023018104551157884,1.2246123726667015,1180.5775878299805,100.0,N,614.2206707602966,48172960080.79878,True,False,PLACEHOLDER scaled NPSS maps
0.3,1000.0,529.196688917187,0.02339417499792116,1.2846337079220647,1164.9267681721335,100.0,N,529.196688917187,38750773710.45225,True,False,PLACEHOLDER scaled NPSS maps
0.6,1000.0,537.184189881416,0.025972550996832582,1.476291167912867,1157.8537707705586,100.0,N,537.184189881416,78871662381.9021,True,False,PLACEHOLDER scaled NPSS maps
0.7,1000.0,558.8473661618802,0.02725214086494327,1.5744809264014468,1154.268710169181,100.0,N,558.8473661618802,66372342290.21748,True,False,PLACEHOLDER scaled NPSS maps
0.8,1000.0,547.7101636959628,0.027422970129935723,1.6560715340079974,1133.3100100584302,100.0,N,547.7101636959628,111858788894.1,True,False,PLACEHOLDER scaled NPSS maps
0.9,1000.0,537.429877064334,0.02739759808722234,1.7638557845662355,1103.1931265070243,100.0,N,537.429877064334,98060085752.36984,True,False,PLACEHOLDER scaled NPSS maps
0.95,1000.0,521.0961001293249,0.026874299713378604,1.8214727618120383,1078.6047426339637,100.0,N,521.0961001293249,154296451977.04825,True,False,PLACEHOLDER scaled NPSS maps
1.0,1000.0,522.1559035378979,0.027099867930062076,1.8909034529150939,1067.1063871114818,100.0,N,522.1559035378979,123771754911.80229,True,False,PLACEHOLDER scaled NPSS maps
1.02,1000.0,523.9692099483068,0.02728710136259482,1.9183856024251418,1064.9722129746983,100.0,N,523.9692099483068,183246575138.79617,True,False,PLACEHOLDER scaled NPSS maps
1.05,1000.0,509.24083835592995,0.02683858868121342,1.9526939795128306,1049.7867409552198,100.0,N,509.24083835592995,138842092076.42285,True,False,PLACEHOLDER scaled NPSS maps
0.0,2500.0,527.2337957671498,0.01944976683516926,1.0436543854514506,1166.1053942866806,100.0,N,527.2337957671498,23593263211.147823,True,False,PLACEHOLDER scaled NPSS maps
0.3,2500.0,458.80636248213534,0.01984076778306167,1.0960173907515853,1152.1186064735268,100.0,N,458.80636248213534,37540918401.56255,True,False,PLACEHOLDER scaled NPSS maps
0.6,2500.0,469.33062801346915,0.022159299342752792,1.2557521349635699,1149.766713126614,100.0,N,469.33062801346915,38060471483.84453,True,False,PLACEHOLDER scaled NPSS maps
0.7,2500.0,483.2607837325415,0.023010083917897634,1.3378833024191696,1140.2747025937967,100.0,N,483.2607837325415,63441870812.619865,True,False,PLACEHOLDER scaled NPSS maps
