case,eta_c,combustor,W,D_mm,dry_raw,dry_cal,L_cal,margin_nom,margin_hi,TOGW_cal
ce85000_opr4_t1150,0.66,mean,1.416299111197731,180.72883930798895,5.63909254250904,6.992474752711209,482.73650820906835,0.6185779289322091,0.36162845353379924,19.169277924137965
ce85000_opr4_t1150,0.66,hi,1.416299111197731,184.04106008048868,5.833064638224928,7.233000151398911,502.9281187127549,0.5789168082812672,0.3187205426820532,19.444310123550345
ce85000_opr4_t1150,0.7,mean,1.325754281450162,175.05134087610764,5.298382670395402,6.5699945112902975,473.9303312963928,0.6869118791085136,0.4367119473012324,18.59629694331428
ce85000_opr4_t1150,0.7,hi,1.325754281450162,182.57818859044602,5.510230275560888,6.832685541695501,493.95878692609244,0.5965471972606313,0.33768011620632654,18.93725844565484
ce85000_opr4_t1150,0.74,mean,1.258972210419537,170.73852479899077,5.061956180869186,6.276825664277791,467.64828221237514,0.7389160080489701,0.49483778911081266,18.19298078054581
ce85000_opr4_t1150,0.74,hi,1.258972210419537,181.7446921279894,5.288896930083127,6.558232193303078,487.5837775162865,0.6066320707639588,0.3485614750607422,18.588684781811093
ax0_opr5_t1150_cap,0.66,mean,1.5089456957554888,162.47660691580612,6.956221624582684,8.625714814482528,699.8661678614397,0.8367155884503938,0.6069946655567775,20.60083195792323
ax0_opr5_t1150_cap,0.66,hi,1.5089456957554888,162.47660691580612,7.087069771340848,8.787966516462651,716.846060638837,0.8366303614178396,0.6069294239070537,20.76308365990335
ax0_opr5_t1150_cap,0.7,mean,1.3837208457112657,155.78378724753247,6.306331704539119,7.819851313628507,678.4711322494371,0.9164277698673362,0.6999765896509691,19.606793293772267
ax0_opr5_t1150_cap,0.7,hi,1.3837208457112657,155.78378724753247,6.433202108683387,7.9771706147674,695.2423514906988,0.9163417334091635,0.6999088901142689,19.76411259491116
ax0_opr5_t1150_cap,0.7400000000000001,mean,1.2956813733981547,150.89520316576363,5.8849436858464035,7.29733017044954,663.3089454720078,0.97380028794586,0.7680168429822984,18.953208248528743
ax0_opr5_t1150_cap,0.7400000000000001,hi,1.2956813733981547,152.3238497419991,6.015029188881669,7.458636194213269,679.9631177993296,0.9571227970394356,0.7481436200183049,19.129150803705752
