MN,case,thrust_N,drag_N,excess_N,margin,T4_K
0.7,nom,401.4451031029161,111.71638190570239,289.7287211972137,2.5934309387298997,1138.5532520093525
0.7,hi,401.4451031029161,111.71638190570239,289.7287211972137,2.5934309387298997,1138.5532520093525
0.8,nom,427.18892947703193,141.97489766574333,285.2140318112886,2.0089046479383867,1144.6945546329937
0.8,hi,427.18892947703193,141.97489766574333,285.2140318112886,2.0089046479383867,1144.6945546329937
0.9,nom,452.6819989012825,175.15874710448037,277.5232517968021,1.5844098932225315,1140.1104496758037
0.9,hi,452.6819989012825,175.16472780256527,277.51727109871723,1.5843216529957869,1140.1104496758037
0.95,nom,484.3705255947661,193.49197218568526,290.87855340908084,1.5033107065027909,1163.6719869079182
0.95,hi,484.3705255947661,193.615296643664,290.7552289511021,1.5017162073005914,1163.6719869079182
1.0,nom,497.1344297360154,250.77555450671417,246.35887522930125,0.9823879194042628,1156.9788483160344
1.0,hi,497.1344297360154,276.9243495795343,220.21008015648113,0.7951994127307158,1156.9788483160344
1.02,nom,500.0000005003884,296.4487867542366,203.5512137461518,0.6866319676150363,1149.9999999998902
1.02,hi,500.0000005003884,348.06455556961123,151.93544493077718,0.43651513059734937,1149.9999999998902
1.05,nom,501.4383412909861,360.4171831287731,141.021158162213,0.3912720168833561,1144.1431827005065
1.05,hi,501.4383412909861,447.1025793969701,54.335761894016,0.1215286254158976,1144.1431827005065
