T4_K,eta_c,eta_t,eta_b,TSFC,spec_thrust,T5_K,ok
1150.0,0.66,0.7,0.95,0.15798690981229244,410.3721374981595,981.9274392906199,True
1150.0,0.66,0.7,0.9,0.16676396035741978,410.3721374981595,981.9274392906199,True
1150.0,0.66,0.75,0.95,0.142799252406158,454.01796426774246,981.9273932167183,True
1150.0,0.66,0.75,0.9,0.1507325442065001,454.01796426774246,981.9273932167183,True
1150.0,0.66,0.8,0.95,0.13317696888773892,486.8216060019394,981.9273543277797,True
1150.0,0.66,0.8,0.9,0.1405756893815022,486.8216060019394,981.9273543277797,True
1150.0,0.66,0.85,0.95,0.1261750404871046,513.8371711719444,981.9273173540452,True
1150.0,0.66,0.85,0.9,0.1331847649586104,513.8371711719444,981.9273173540452,True
1150.0,0.7,0.7,0.95,0.1463036714170857,450.19604889187366,991.8009692666099,True
1150.0,0.7,0.7,0.9,0.15443165316247934,450.19604889187366,991.8009692666099,True
1150.0,0.7,0.75,0.95,0.13527648640349768,486.89418657641846,991.8009262222345,True
1150.0,0.7,0.75,0.9,0.14279184675924755,486.89418657641846,991.8009262222345,True
1150.0,0.7,0.8,0.95,0.12771682967238931,515.7138254942615,991.8008860179687,True
1150.0,0.7,0.8,0.9,0.13481220909863317,515.7138254942615,991.8008860179687,True
1150.0,0.7,0.85,0.95,0.12207938727662127,539.5287138941957,991.8008505599138,True
1150.0,0.7,0.85,0.9,0.12886157545865579,539.5287138941957,991.8008505599138,True
1150.0,0.74,0.7,0.95,0.1383885343064897,482.59213547920535,1000.5465327503006,True
1150.0,0.74,0.7,0.9,0.14607678621240577,482.59213547920535,1000.5465327503006,True
1150.0,0.74,0.75,0.95,0.12973247725957093,514.7918216591299,1000.5464906440777,True
1150.0,0.74,0.75,0.9,0.13693983710732485,514.7918216591299,1000.5464906440777,True
1150.0,0.74,0.8,0.95,0.12358128647147143,540.4153023785154,1000.5464511061256,True
1150.0,0.74,0.8,0.9,0.13044691349766427,540.4153023785154,1000.5464511061256,True
1150.0,0.74,0.85,0.95,0.11893312692398411,561.5358817522036,1000.5464179861764,True
1150.0,0.74,0.85,0.9,0.12554052286420544,561.5358817522036,1000.5464179861764,True
1150.0,0.78,0.7,0.95,0.1326010348190043,509.8782217079038,1008.379466839641,True
1150.0,0.78,0.7,0.9,0.13996775897561564,509.8782217079038,1008.379466839641,True
1150.0,0.78,0.75,0.95,0.1255417129931226,538.5491261684915,1008.379424334845,True
1150.0,0.78,0.75,0.9,0.13251625260385164,538.5491261684915,1008.379424334845,True
1150.0,0.78,0.8,0.95,0.12045182397352991,561.3064011799404,1008.3793882859886,True
1150.0,0.78,0.8,0.9,0.12714359197205935,561.3064011799404,1008.3793882859886,True
1150.0,0.78,0.85,0.95,0.11643875019728897,580.6518853524752,1008.3793544247743,True
