model,F_N,W,PR,Wf_gps,EGT_max_C,eta_c,eta_b,T4_K,eta_t,T5_K,TSFC,spec_thrust,matched
P220-RXi,220.0,0.45,3.9,9.666666666666666,750.0,0.7,0.95,1256.9476489091812,0.6487726571404562,1099.2151518645694,0.15798668512112965,488.88888888888886,True
P220-RXi,220.0,0.45,3.9,9.666666666666666,750.0,0.7,0.9,1220.6169068445645,0.6797576553682315,1061.5149947584262,0.1579957577109728,488.88888888888886,True
P220-RXi,220.0,0.45,3.9,9.666666666666666,750.0,0.74,0.95,1248.5161650609123,0.6178699091670827,1099.2151518479147,0.1579879984951599,488.88888888888886,True
P220-RXi,220.0,0.45,3.9,9.666666666666666,750.0,0.74,0.9,1212.1176305811193,0.6477191336690485,1061.5149947420455,0.1579971077179137,488.88888888888886,True
P220-RXi,220.0,0.45,3.9,9.666666666666666,750.0,0.78,0.95,1240.9494487645807,0.589777266824243,1099.2151518100163,0.1579891771836056,488.88888888888886,True
P220-RXi,220.0,0.45,3.9,9.666666666666666,750.0,0.78,0.9,1204.4900749834617,0.6185647725659267,1061.5149947516757,0.1579983189841855,488.88888888888886,True
P300-PRO(-GL),300.0,0.5,3.55,13.066666666666668,750.0,0.7,0.95,1389.4286392125234,0.6904442809994962,1249.787799566821,0.15669548066406597,600.0,True
P300-PRO(-GL),300.0,0.5,3.55,13.066666666666668,750.0,0.7,0.9,1347.0386373311774,0.7355862811199537,1206.0345291060291,0.15670530598775764,600.0,True
P300-PRO(-GL),300.0,0.5,3.55,13.066666666666668,750.0,0.74,0.95,1381.9550959069925,0.6567625326318388,1249.7877995715537,0.15669605931153563,600.0,True
P300-PRO(-GL),300.0,0.5,3.55,13.066666666666668,750.0,0.74,0.9,1339.5024840373624,0.7000629179545296,1206.0345291031288,0.15670587873225775,600.0,True
P300-PRO(-GL),300.0,0.5,3.55,13.066666666666668,750.0,0.78,0.95,1375.2480698687577,0.6262141067137862,1249.7877995819167,0.15669657861645056,600.0,True
P300-PRO(-GL),300.0,0.5,3.55,13.066666666666668,750.0,0.78,0.9,1332.7211181030234,0.6675274921485131,1206.0345269658073,0.15670635455587759,600.0,True
P400-PRO-LN,425.0,0.67,3.8,18.560000000000002,750.0,0.7,0.95,1446.6105666380315,0.6829963546088821,1299.0918517066198,0.15711249038383415,634.3283582089551,True
P400-PRO-LN,425.0,0.67,3.8,18.560000000000002,750.0,0.7,0.9,1402.3134370203845,0.7287667127951423,1253.2714183750265,0.15712208738604933,634.3283582089551,True
P400-PRO-LN,425.0,0.67,3.8,18.560000000000002,750.0,0.74,0.95,1438.7282604184522,0.649997992986732,1299.0918576394936,0.157113101442498,634.3283582089551,True
P400-PRO-LN,425.0,0.67,3.8,18.560000000000002,750.0,0.74,0.9,1394.327936289498,0.6934299696720918,1253.271418377584,0.15712262517961545,634.3283582089551,True
P400-PRO-LN,425.0,0.67,3.8,18.560000000000002,750.0,0.78,0.95,1431.622513011565,0.6196576822188814,1299.0918564520305,0.15711358957223653,634.3283582089551,True
P400-PRO-LN,425.0,0.67,3.8,18.560000000000002,750.0,0.78,0.9,1387.161461276342,0.6613615936146403,1253.2714183832388,0.15712310786583464,634.3283582089551,True
Olympus HP (E-start),230.0,0.45,3.5,10.666666666666666,750.0,0.7,0.95,1312.1652566359674,0.6313651948352607,1172.0136030687872,0.16678140137898273,511.1111111111111,True
Olympus HP (E-start),230.0,0.45,3.5,10.666666666666666,750.0,0.7,0.9,1272.8270923094901,0.664883722370411,1131.3844864079358,0.16679586387245043,511.1111111111111,True
Olympus HP (E-start),230.0,0.45,3.5,10.666666666666666,750.0,0.74,0.95,1304.6760639727972,0.6009753853028579,1172.0136023405291,0.16678249038910217,511.1111111111111,True
Olympus HP (E-start),230.0,0.45,3.5,10.666666666666666,750.0,0.74,0.9,1265.2643869537967,0.6330399695805645,1131.384485758714,0.16679690182038165,511.1111111111111,True
Olympus HP (E-start),230.0,0.45,3.5,10.666666666666666,750.0,0.78,0.95,1297.9343990848495,0.5731418942329716,1172.0136022555635,0.16678339593443406,511.1111111111111,True
Olympus HP (E-start),230.0,0.45,3.5,10.666666666666666,750.0,0.78,0.9,1258.453586072408,0.6038067548866191,1131.3844857559652,0.16679775460735588,511.1111111111111,True
Titan,392.0,0.66,3.8,17.0,850.0,0.7,0.95,1387.4246395750029,0.673716250311692,1237.899669153687,0.15600639221064447,593.9393939393939,True
Titan,392.0,0.66,3.8,17.0,850.0,0.7,0.9,1345.5629440062457,0.7155915945506077,1194.5835720877462,0.15601678513760853,593.9393939393939,True
Titan,392.0,0.66,3.8,17.0,850.0,0.74,0.95,1379.4295738806084,0.6413451811092485,1237.8996685176892,0.1560071236471246,593.9393939393939,True
Titan,392.0,0.66,3.8,17.0,850.0,0.74,0.9,1337.5012795960358,0.6812802651153426,1194.583571592479,0.15601422582929114,593.9393939393939,True
Titan,392.0,0.66,3.8,17.0,850.0,0.78,0.95,1372.254515014958,0.6119423002164833,1237.8996685518387,0.1560077797705721,593.9393939393939,True
Titan,392.0,0.66,3.8,17.0,850.0,0.78,0.9,1330.2359408094444,0.6499666831528522,1194.5835704466424,0.15601482982392562,593.9393939393939,True
Nike (EPV layout),784.0,1.25,4.0,31.66666666666666,875.0,0.7,0.95,1381.0599647222355,0.7238589834429948,1224.414578972417,0.14531391668769536,627.2,True
Nike (EPV layout),784.0,1.25,4.0,31.66666666666666,875.0,0.7,0.9,1339.7613607364817,0.7725582019749206,1181.5973588607471,0.14531662585267213,627.2,True
Nike (EPV layout),784.0,1.25,4.0,31.66666666666666,875.0,0.74,0.95,1372.6969428191517,0.6894043803793993,1224.4145790129044,0.14531455526142611,627.2,True
Nike (EPV layout),784.0,1.25,4.0,31.66666666666666,875.0,0.74,0.9,1331.3039423836924,0.7354379554527549,1181.5973599897452,0.1453143998438327,627.2,True
Nike (EPV layout),784.0,1.25,4.0,31.66666666666666,875.0,0.78,0.95,1365.164317171121,0.6577200178736926,1224.4145790120604,0.14531507702801194,627.2,True
