+  +  |  LS: AG 1 ; 4259.09765 1
+  +  |  LS: AG 2 ; 11.1373566 0.5
+  +  |  LS: AG 1 ; 469.274126 1
+  +  |  LS: AG 2 ; 5.57177472 0.5
+  +  |  LS: AG 1 ; 93.7912197 1
+  +  |  LS: AG 2 ; 2.78570611 0.5
+  +  |  LS: AG 1 ; 36.5383902 1
+  +  |  LS: AG 2 ; 1.39283983 0.5
+  +  |  LS: AG 1 ; 10.4760098 1
+  +  |  LS: AG 2 ; 0.696415884 0.5
+  +  |  LS: AG 1 ; 2.9227207 1
+  +  |  LS: AG 2 ; 0.348205578 0.5
+  +  |  LS: AG 1 ; 2.92276439 1
+  +  |  LS: AG 2 ; 0.174105251 0.5
  [ce75000_opr3.5_t1150_b0_cap] it0: W 1.1240  eta_c 0.780->0.799  eta_t 0.880->0.935  rpm 75000
+  +  |  LS: AG 1 ; 4259.09765 1
+  +  |  LS: AG 2 ; 11.1373566 0.5
+  +  |  LS: AG 1 ; 469.274126 1
+  +  |  LS: AG 2 ; 5.57177472 0.5
+  +  |  LS: AG 1 ; 93.7912197 1
+  +  |  LS: AG 2 ; 2.78570611 0.5
+  +  |  LS: AG 1 ; 36.5383902 1
+  +  |  LS: AG 2 ; 1.39283983 0.5
+  +  |  LS: AG 1 ; 10.4760098 1
+  +  |  LS: AG 2 ; 0.696415884 0.5
+  +  |  LS: AG 1 ; 2.9227207 1
+  +  |  LS: AG 2 ; 0.348205578 0.5
+  +  |  LS: AG 1 ; 2.92276439 1
+  +  |  LS: AG 2 ; 0.174105251 0.5
  [ce75000_opr3.5_t1150_b0_cap] it1: W 1.0910  eta_c 0.799->0.801  eta_t 0.935->0.917  rpm 75000
+  +  |  LS: AG 1 ; 4259.09765 1
+  +  |  LS: AG 2 ; 11.1373566 0.5
+  +  |  LS: AG 1 ; 469.274126 1
+  +  |  LS: AG 2 ; 5.57177472 0.5
+  +  |  LS: AG 1 ; 93.7912197 1
+  +  |  LS: AG 2 ; 2.78570611 0.5
+  +  |  LS: AG 1 ; 36.5383902 1
+  +  |  LS: AG 2 ; 1.39283983 0.5
+  +  |  LS: AG 1 ; 10.4760098 1
+  +  |  LS: AG 2 ; 0.696415884 0.5
+  +  |  LS: AG 1 ; 2.9227207 1
+  +  |  LS: AG 2 ; 0.348205578 0.5
+  +  |  LS: AG 1 ; 2.92276439 1
+  +  |  LS: AG 2 ; 0.174105251 0.5
  [ce75000_opr3.5_t1150_b0_cap] it2: W 1.0964  eta_c 0.801->0.801  eta_t 0.917->0.929  rpm 75000
+  +  |  LS: AG 1 ; 4259.09765 1
+  +  |  LS: AG 2 ; 11.1373566 0.5
+  +  |  LS: AG 1 ; 469.274126 1
+  +  |  LS: AG 2 ; 5.57177472 0.5
+  +  |  LS: AG 1 ; 93.7912197 1
+  +  |  LS: AG 2 ; 2.78570611 0.5
+  +  |  LS: AG 1 ; 36.5383902 1
