tag,OPR,rpm,beta2b,level,eta_c,eta_t,eta_c_tool,eta_t_tool,W,TSFC_dash,Wf_dash,Tt3,U2,t_root_mm,B2,sigma_root_MCS,disc_vm_MCS,burst_MCS,stress_ok,M1s_rel,D_engine_mm,D_comp,D_comb,D_turb,D_comb_hi_engine,L_cal_mm,dry_raw,dry_cal,dry_cal_lo,dry_cal_hi,CDS_nom,CDS_hi,drag_nom,drag_hi,margin_nom,margin_hi,margin_hi_comb_hi,worst_corner,worst_stress_ok,TOGW,fuel,turb_rtip_mm,turb_rtip_stress_limit_mm,turb_eta_tool_at_fielded_flow,dEta_TE_pts
ce75000_opr3.5_t1150_b20_cap,3.5,75000,-20.0,fielded,0.7,0.75,0.8093719762086116,0.9084907828916985,1.3086353371915669,0.16784327148155892,0.02331156550788419,496.1600562227187,503.7003775484178,3.114896749494536,0.12406619951212415,621.1212878509607,310.4866280703471,1.970707141283717,True,1.1921795340556496,189.22979314445965,179.15943463602284,189.22979314445965,126.8461753220523,203.38965373258165,504.751616683575,5.7299426944257466,6.89028670872752,6.52735360941485,7.253219808040191,83.55439739079539,101.21992621494779,329.61466973638767,399.11369242349514,0.5169227781088037,0.25277586315277945,0.08413511047221633,0.06964299935729046,True,19.106825791112254,1.9385407106556327,61.123087661026155,61.12308766103807,0.9379726437095421,0.10455478175884987
ce75000_opr3.5_t1150_b0_cap,3.5,75000,0.0,fielded,0.7,0.75,0.8010264459369032,0.9220252763156168,1.3086353371915669,0.16784327148155892,0.02331156550788419,496.1600562227187,469.17307592144203,1.6,0.07673074574728542,0.0,276.7978128079201,2.093115848733481,True,1.1948092718509007,189.22979314445965,167.28982266881746,189.22979314445965,126.8461753220523,203.38965373258165,498.638810331236,5.449161987375023,6.552646408111458,6.20749788670325,6.897794929519666,83.55439739079539,101.21992621494779,329.5821569302219,399.0811796173294,0.5170724203610191,0.2528779257427689,0.08421380813895873,0.06972885981196764,True,18.76918549049619,1.9385407106556327,61.123087661026155,61.12308766103807,0.9379726437095421,0.031230807586489103
ce75000_opr3.75_t1150_b0_cap,3.75,75000,0.0,fielded,0.7,0.75,0.8068537887227254,0.9350366101262263,1.3194649874366502,0.1661623142476278,0.02307809921891393,508.86209607226874,484.9816945195905,1.6,0.07422960579091674,0.0,293.370290525465,2.035265262634999,True,1.190602768218914,179.01922826174751,172.72442542245307,179.01922826174751,126.84617532022699,192.4027352233957,485.55262223957425,5.384894111005018,6.475363943352922,6.134286132735574,6.8164417539702695,77.3427469771526,91.63259036252887,305.12583967920335,361.34437463059777,0.6386681669192857,0.3837215561968492,0.21364690192821412,0.19601501331649662,True,18.56602054310149,1.9191261455728428,61.1230876601135,61.12308766103807,0.9367847461543399,0.02913458257390908
ce75000_opr4_t1150_b30_cap,4.0,75000,-30.0,fielded,0.7,0.75,0.8211349879672738,0.9360633573795017,1.325754281450162,0.16415960570296623,0.022799943687618705,520.3096502754902,560.3242897103937,3.3437743061720604,0.12809060333790037,621.3233886946614,371.8130320547355,1.7992640160391942,True,1.1842314127626583,198.6253017544271,198.6253017544271,169.88890015791276,126.84617532275519,198.6253017544271,484.5520115104182,5.965675042663467,7.173756117149287,6.795891791414858,7.551620442883715,90.06451702614582,111.3415522138412,355.2611558910126,438.96842364074973,0.4074152429603297,0.13903401498854806,0.13897835207358078,0.07291457657752365,True,19.446202049861594,1.8959953171809238,61.12308766137759,61.12308766103807,0.9331637049026476,0.12325803658639307
ce75000_opr4_t1150_b20_cap,4.0,75000,-20.0,fielded,0.7,0.75,0.8190120072984723,0.9360119150781583,1.325754281450162,0.16415960570296623,0.022799943687618705,520.3096502754902,535.2206820904044,2.6914729949824,0.10413128861019735,619.047517590861,344.95880626870166,1.872102781292149,True,1.1848944826375893,189.99531715136004,189.99531715136004,169.88890015791276,126.84617532275519,189.99531715136004,480.10760129313655,5.708606415935927,6.864629719830384,6.503048054919952,7.2262113847408145,84.05538144625498,101.99641052488943,331.58109998711325,402.16398484597596,0.5079266159987688,0.24327385065127372,0.24320977813459743,0.17614554663828552,True,19.046627903838445,1.8959953171809238,61.12308766137759,61.12308766103807,0.9331637049026476,0.07040184530034588
ce75000_opr4_t1150_b15_cap,4.0,75000,-15.0,fielded,0.7,0.75,0.8174628663842539,0.9359542561682004,1.325754281450162,0.16415960570296623,0.022799943687618705,520.3096502754902,525.4132109463221,2.2353949488961034,0.08971430551972537,617.7543220568991,334.8345937717649,1.90187143788436,True,1.185535770696148,186.62375692584655,186.62375692584655,169.88890015791276,126.84617532275519,186.62375692584655,478.37126022143553,5.601926066988007,6.7363460301604405,6.381521471166111,7.09117058915477,81.88654027115945,98.63811945976319,323.0327507869612,388.9361490753793,0.5478305676889865,0.28555796940287115,0.2854904187959,0.21825168652994753,True,18.88311346029968,1.8959953171809238,61.12308766137759,61.12308766103807,0.9331637049026476,0.04877692986812387
ce75000_opr4_t1150_b10_cap,4.0,75000,-10.0,fielded,0.7,0.75,0.81476123549834,0.9357750896459563,1.325754281450162,0.16415960570296623,0.022799943687618705,520.3096502754902,516.2814065487034,1.7020829146462852,0.07381676575360492,620.3273637432065,325.60082793493257,1.9301094412600088,True,1.186201416834971,183.4844738179112,183.4844738179112,169.88890015791276,126.84617532275519,183.4844738179112,476.7545410079518,5.502646616788168,6.616961960782713,6.268425736677689,6.9654981848877355,79.95389640022991,95.65313828386351,315.4148641862358,377.17819879693286,0.5852137067880654,0.32563326201658227,0.3255623725896526,0.2582921350742393,True,18.73097969728431,1.8959953171809238,61.12308766137759,61.12308766103807,0.9331637049026476,0.030798792169133254
ce75000_opr4_t1150_b0_cap,4.0,75000,0.0,fielded,0.7,0.75,0.8103860933512428,0.9355073060200394,1.325754281450162,0.16415960570296623,0.022799943687618705,520.3096502754902,498.21404077576045,1.6,0.07225810004058703,0.0,307.4723995705471,1.9894185766347012,True,1.187563358683845,177.27337098365868,177.27337098365868,169.88890015791276,126.84617532275519,182.57818859044602,473.55584597351015,5.351740372888335,6.435496396106377,6.096518534750336,6.774474257462418,76.36459386576146,90.13048118365866,301.27068337475873,355.4278911514473,0.6596369763955878,0.4067550084854421,0.337293997852939,0.3183951260967839,True,18.48487351804246,1.8959953171809238,61.12308766137759,61.12308766103807,0.9331637049026476,0.027390198498109242
ce77500_opr4_t1150_b0_cap,4.0,77500,0.0,fielded,0.7,0.75,0.8048557454345712,0.9353824398730929,1.325754281450162,0.16415960570296623,0.022799943687618705,520.3096502754902,498.8211488917259,1.6,0.07457582759401933,0.0,310.6718500263884,1.9775357389523358,True,1.2194445765131001,171.95039940017077,171.95039940017077,169.88890015791276,122.90275031091824,182.57818859044602,467.17919002779365,5.108403643234543,6.142882678396801,5.819317703029267,6.466447653764336,73.52473722175627,85.7832018242392,290.0658582882366,338.2926234192228,0.7237463553393115,0.47801025330990266,0.33738271958652155,0.31848881757299297,True,18.13702843962999,1.8959953171809238,59.151375155459114,59.151375155843304,0.9334084767184492,0.02939332535356241
ce85000_opr4_t1150_b20_cap,4.0,85000,-20.0,fielded,0.7,0.75,0.7935608285469676,0.9347434807321092,1.325754281450162,0.16415960570296623,0.022799943687618705,520.3096502754902,537.5415302070087,3.3587769101040967,0.13996411606401166,621.7945262063384,358.8288178521284,1.8300758441206664,True,1.3173903559545834,169.88890015791276,169.0527934969358,169.88890015791276,112.46430556484324,182.57818859044602,476.73918713706996,5.286359995367463,6.356876142769132,6.022039457741253,6.69171282779701,72.48074412103679,84.19065974946815,285.97647282595074,332.04515834482385,0.7483954574718599,0.5058191738892175,0.3373049419118326,0.3183778612177153,True,18.329673517894204,1.8959953171809238,53.93215278242162,53.93213617150418,0.9794147591929555,0.13920948747324602
