kind,model,rpm,W,M1s_rel,r1s_mm,D_engine_mm
database,JetCat P220-RXi,117000.0,0.45,1.2155524620169034,28.344453711426187,116.8
database,JetCat P300-PRO(-GL),105000.0,0.5,1.162865298933912,30.221017514595495,132.0
database,JetCat P400-PRO-LN,98000.0,0.67,1.236562451399691,34.49541284403669,148.4
database,JetCat P550-PRO,83000.0,0.93,1.2344856869883014,40.64637197664721,175.0
database,JetCat P1000-PRO,61500.0,1.8,1.264768056751503,56.28440366972477,234.0
database,AMT Netherlands Olympus HP (E-start),108500.0,0.45,1.1449235713172363,28.761467889908257,130.0
database,AMT Netherlands Titan,96000.0,0.66,1.209232212156561,34.391159299416174,147.0
database,AMT Netherlands Nike (EPV layout),61500.0,1.25,1.0951227907282628,48.465387823185985,201.0
database,PBS Aerospace TJ40-G1,98000.0,0.8,1.3276758196998883,37.20600500417014,147.0
Phase 3R fielded OPR 3.5,,70000.0,1.309,1.216163411484183,49.090909090909086,
Phase 3R fielded OPR 3.5,,72500.0,1.309,1.2502316170921595,48.882402001668055,
Phase 3R fielded OPR 3.5,,75000.0,1.309,1.2850247547556752,48.569641367806504,
Phase 3R fielded OPR 3.5,,77500.0,1.309,1.3192504231139508,48.36113427856547,
Phase 3R fielded OPR 3.5,,80000.0,1.309,1.353571044256533,48.152627189324434,
Phase 3R fielded OPR 3.5,,85000.0,1.309,1.422594018789189,47.735613010842364,
Phase 3R fielded OPR 3.5,,95000.0,1.309,1.5603466286602485,47.11009174311927,
Phase 3R fielded OPR 4,,70000.0,1.326,1.2221478573526459,49.403669724770644,
Phase 3R fielded OPR 4,,72500.0,1.326,1.257047911120225,49.090909090909086,
Phase 3R fielded OPR 4,,75000.0,1.326,1.2914026949849644,48.882402001668055,
Phase 3R fielded OPR 4,,77500.0,1.326,1.3265954782059852,48.569641367806504,
Phase 3R fielded OPR 4,,80000.0,1.326,1.3611747991235619,48.36113427856547,
Phase 3R fielded OPR 4,,85000.0,1.326,1.4307605441405908,47.9441201000834,
Phase 3R fielded OPR 4,,95000.0,1.326,1.5696694263112503,47.318598832360294,
Phase 3R fielded OPR 4.5,,70000.0,1.35,1.231244683819472,49.716430358632195,
Phase 3R fielded OPR 4.5,,72500.0,1.35,1.2658331979419546,49.507923269391156,
Phase 3R fielded OPR 4.5,,75000.0,1.35,1.3011829097673584,49.195162635529606,
Phase 3R fielded OPR 4.5,,77500.0,1.35,1.3359488041238956,48.986655546288574,
Phase 3R fielded OPR 4.5,,80000.0,1.35,1.3708200445486676,48.778148457047536,
Phase 3R fielded OPR 4.5,,85000.0,1.35,1.4409822741517968,48.36113427856547,
Phase 3R fielded OPR 4.5,,95000.0,1.35,1.5810743724855008,47.735613010842364,
