layout,drum,k,crit1_rpm,crit2_rpm,crit3_rpm
A,True,1000000.0,9309.301675960727,11580.817478129586,29664.52017523917
A,True,1778279.410038923,10695.903868070583,14223.00776445839,35549.00445475303
A,True,3162277.6601683795,11345.571012627237,18338.072229312023,42320.692761119215
A,True,5623413.251903491,11669.628409421906,23826.149167265627,48655.94519077067
A,True,10000000.0,11842.847307468815,30737.56528500418,53391.356425848986
A,True,17782794.100389227,11937.955003602036,38938.02562264662,56695.368481448495
A,True,31622776.60168379,11990.786250437159,47467.7998193484,60089.86162604178
A,True,56234132.51903491,12020.300797935091,53157.08034114924,66785.44843235485
A,True,100000000.0,12036.83834509273,55294.30636046493,76676.80982518665
A,True,177827941.00389227,12046.119522957106,56102.84396683366,85816.31423977831
A,True,316227766.01683795,12051.332894766143,56480.39843104274,91990.16475385602
A,True,562341325.1903491,12054.262758531378,56673.87190660063,95359.53848704332
A,True,1000000000.0,12055.909764826403,56777.51181651387,97106.56542458381
A,False,1000000.0,7665.029530867863,10813.89918024795,26596.996643495193
A,False,1778279.410038923,8238.851907013071,14001.763430125631,31194.56433552441
A,False,3162277.6601683795,8557.051383660326,18290.522273335868,35520.725074250644
A,False,5623413.251903491,8734.597541841436,23819.91407049488,38769.19970505963
A,False,10000000.0,8834.044489408401,30631.435930626023,41022.26487446332
A,False,17782794.100389227,8889.84815126597,37684.828705038904,43779.51095874924
A,False,31622776.60168379,8921.191517911646,40768.72831287059,51467.895348003345
A,False,56234132.51903491,8938.805399896673,41570.2292409718,61930.75317920643
A,False,100000000.0,8948.706682978725,41905.05578027521,71670.99469830432
A,False,177827941.00389227,8954.27340284976,42072.75741568542,78065.49379000395
A,False,316227766.01683795,8957.403425612934,42162.149996615066,81094.83045196565
A,False,562341325.1903491,8959.163448451258,42211.07558332816,82456.16384106231
A,False,1000000000.0,8960.153144645315,42238.195417286355,83119.0702836063
B,True,1000000.0,6892.376812750369,10934.8257983205,24685.2652706107
B,True,1778279.410038923,8161.39637311414,14198.90060366536,28147.763907240067
B,True,3162277.6601683795,9178.670367423456,18408.507261445353,33502.96512057342
B,True,5623413.251903491,9878.685284813295,23804.966091585473,41001.39862275286
B,True,10000000.0,10314.967376753992,30571.1090773057,50416.8317370191
B,True,17782794.100389227,10573.017074368148,38640.49389718483,60580.83753076285
B,True,31622776.60168379,10721.827413581146,47480.89415197563,69347.20494995659
B,True,56234132.51903491,10806.600287624035,55462.650601130335,76925.42762060353
B,True,100000000.0,10854.600162443365,60623.092651863866,85873.6844419008
B,True,177827941.00389227,10881.693249406293,63155.90487965033,94450.9198171666
B,True,316227766.01683795,10896.960098703503,64377.11434696737,98598.35451381952
B,True,562341325.1903491,10905.5550671408,64996.65963964389,100224.64293007042
B,True,1000000000.0,10910.391449356992,65324.19026269303,101012.3231118823
B,False,1000000.0,5723.606703492495,10809.562967375674,21432.118933066937
B,False,1778279.410038923,6611.4022609738195,14103.054715089394,24916.3488060634
B,False,3162277.6601683795,7285.860068167258,18352.14982367005,30100.944502247297
B,False,5623413.251903491,7736.900066014914,23783.15120726862,37132.8663443173
B,False,10000000.0,8015.166143274576,30567.7067424424,45638.25759612909
B,False,17782794.100389227,8179.43603051784,38588.32637365346,53255.25553997898
B,False,31622776.60168379,8274.218524491005,46905.830726399836,56803.203683351734
B,False,56234132.51903491,8328.262574402348,52069.33234570735,61828.543316769
B,False,100000000.0,8358.885194364728,53560.42688697683,68322.35134854594
B,False,177827941.00389227,8376.177974601365,54042.184548280115,72774.91148287337
B,False,316227766.01683795,8385.925174940992,54246.9834218468,75256.11884560698
B,False,562341325.1903491,8391.413597763165,54346.746833188976,76615.02393538153
B,False,1000000000.0,8394.502227124018,54398.71275759146,77365.82712788729
