layout,k,t_drum_mm,shaft_od_mm,journal_od_mm,crits_rpm,bearing_energy,rigid_rpm,first_bending_rpm,rigid_ok,bending_ok,ok,m_rotor_kg,Ip_kgm2,R_front_N_1g,R_rear_N_1g,span_m,gyro_bearing_load_N_per_radps
A,600000.0,0.3212660060006173,16.0,16.0,"[7564, 10121, 25719, 73761]","[np.float64(0.9), np.float64(0.52), np.float64(0.5), np.float64(0.03)]","[7564, 10121, 25719]",73760.86911742523,False,False,False,1.3872864650554857,0.000930772432104593,3.979977131179206,9.629303091015109,0.40897010842267867,19.066481222903594
A,600000.0,0.3212660060006173,20.0,16.0,"[7287, 11181, 30232, 80785]","[np.float64(0.94), np.float64(0.64), np.float64(0.34), np.float64(0.04)]","[7287, 11181]",30232.08014724559,True,False,False,1.5291286769693129,0.0009458907897130208,4.32357477866077,10.677177542408188,0.40897010842267867,19.376174410539647
A,600000.0,0.3212660060006173,24.0,16.0,"[6924, 11541, 34552, 85856]","[np.float64(0.95), np.float64(0.71), np.float64(0.27), np.float64(0.04)]","[6924, 11541]",34552.14705702979,True,False,False,1.7110273593165566,0.0009736303387709755,4.791051014317842,11.994127380577579,0.40897010842267867,19.944407388872925
A,600000.0,0.3212660060006173,28.0,16.0,"[6545, 11586, 38054, 91029]","[np.float64(0.96), np.float64(0.75), np.float64(0.24), np.float64(0.03)]","[6545, 11586]",38053.84100590561,True,False,False,1.9259985293633002,0.0010193117124059085,5.343522929185298,13.550522643868678,0.40897010842267867,20.88017108642625
A,600000.0,0.3212660060006173,32.0,16.0,"[6171, 11485, 40454, 96501]","[np.float64(0.96), np.float64(0.76), np.float64(0.22), np.float64(0.03)]","[6171, 11485]",40454.23276932906,True,False,False,2.174042187109542,0.0010893840457192217,5.98099052326312,15.346363332281484,0.40897010842267867,22.315573319324784
A,600000.0,1.0,16.0,16.0,"[7501, 10094, 25200, 83861]","[np.float64(0.9), np.float64(0.58), np.float64(0.47), np.float64(0.02)]","[7501, 10094]",25200.463654565818,True,False,False,1.4690229820846972,0.0009886905307985201,4.562981003149746,9.848134451101133,0.40897010842267867,20.252909079084393
A,600000.0,1.0,20.0,16.0,"[7259, 11241, 30500, 99259]","[np.float64(0.95), np.float64(0.73), np.float64(0.28), np.float64(0.02)]","[7259, 11241]",30499.74507508993,True,False,False,1.6108651939985241,0.0010038088884069477,4.90657865063131,10.896008902494213,0.40897010842267867,20.56260226672044
A,600000.0,1.0,24.0,16.0,"[6914, 11667, 36508, 110538]","[np.float64(0.97), np.float64(0.82), np.float64(0.18), np.float64(0.02)]","[6914, 11667]",36508.30767329542,True,False,False,1.7927638763457683,0.0010315484374649026,5.374054886288382,12.212958740663604,0.40897010842267867,21.130835245053724
A,600000.0,1.0,28.0,16.0,"[6549, 11767, 42571, 118651]","[np.float64(0.97), np.float64(0.86), np.float64(0.13), np.float64(0.02)]","[6549, 11767]",42570.9751532582,True,False,False,2.0077350463925114,0.0010772298110998356,5.9265268011558305,13.769354003954707,0.40897010842267867,22.06659894260705
A,600000.0,1.0,32.0,16.0,"[6187, 11718, 48080, 125029]","[np.float64(0.98), np.float64(0.88), np.float64(0.11), np.float64(0.01)]","[6187, 11718]",48080.44428974498,True,False,False,2.255778704138753,0.0011473021444131488,6.563994395233664,15.565194692367509,0.40897010842267867,23.502001175505576
A,600000.0,2.0,16.0,16.0,"[7318, 9715, 24236, 85563]","[np.float64(0.87), np.float64(0.65), np.float64(0.45), np.float64(0.01)]","[7318, 9715]",24235.880124610314,True,False,False,1.5894479464327853,0.0010741909332348482,5.421938823333814,10.170545531171811,0.40897010842267867,22.00434880954233
A,600000.0,2.0,20.0,16.0,"[7150, 10735, 29769, 104449]","[np.float64(0.95), np.float64(0.78), np.float64(0.24), np.float64(0.01)]","[7150, 10735]",29768.568995878522,True,False,False,1.7312901583466123,0.001089309290843276,5.765536470815375,11.21841998256489,0.40897010842267867,22.31404199717838
A,600000.0,2.0,24.0,16.0,"[6835, 11126, 36270, 120490]","[np.float64(0.97), np.float64(0.86), np.float64(0.14), np.float64(0.01)]","[6835, 11126]",36270.41885108983,True,False,False,1.9131888406938562,0.0011170488399012306,6.233012706472447,12.535369820734282,0.40897010842267867,22.882274975511667
A,600000.0,2.0,28.0,16.0,"[6488, 11230, 43176, 132975]","[np.float64(0.98), np.float64(0.9), np.float64(0.1), np.float64(0.01)]","[6488, 11230]",43176.4888801745,True,False,False,2.1281600107406,0.0011627302135361636,6.785484621339899,14.091765084025385,0.40897010842267867,23.818038673064986
A,600000.0,2.0,32.0,16.0,"[6139, 11203, 49968, 142136]","[np.float64(0.98), np.float64(0.92), np.float64(0.07), np.float64(0.01)]","[6139, 11203]",49968.47367837347,True,False,False,2.3762036684868413,0.001232802546849477,7.422952215417727,15.887605772438189,0.40897010842267867,25.253440905963522
A,600000.0,3.0,16.0,16.0,"[7104, 9413, 23389, 85406]","[np.float64(0.83), np.float64(0.71), np.float64(0.43), np.float64(0.01)]","[7104, 9413]",23389.150587999055,True,False,False,1.7098729107808737,0.0011600526105642207,6.280896643517883,10.492956611242489,0.40897010842267867,23.763189104012422
A,600000.0,3.0,20.0,16.0,"[7023, 10277, 29012, 105355]","[np.float64(0.94), np.float64(0.81), np.float64(0.23), np.float64(0.01)]","[7023, 10277]",29012.192943718288,True,False,False,1.8517151226947006,0.0011751709681726485,6.624494290999447,11.540831062635569,0.40897010842267867,24.072882291648476
A,600000.0,3.0,24.0,16.0,"[6742, 10615, 35678, 123391]","[np.float64(0.96), np.float64(0.88), np.float64(0.13), np.float64(0.01)]","[6742, 10615]",35677.67552354831,True,False,False,2.0336138050419446,0.0012029105172306031,7.091970526656519,12.85778090080496,0.40897010842267867,24.641115269981757
A,600000.0,3.0,28.0,16.0,"[6415, 10707, 42855, 138359]","[np.float64(0.98), np.float64(0.92), np.float64(0.08), np.float64(0.01)]","[6415, 10707]",42855.2435136148,True,False,False,2.248584975088688,0.0012485918908655361,7.644442441523966,14.41417616409606,0.40897010842267867,25.576878967535077
A,600000.0,3.0,32.0,16.0,"[6080, 10686, 50089, 149793]","[np.float64(0.98), np.float64(0.94), np.float64(0.06), np.float64(0.01)]","[6080, 10686]",50089.11186249908,True,False,False,2.4966286328349296,0.0013186642241788495,8.281910035601797,16.210016852508865,0.40897010842267867,27.012281200433616
A,1750000.0,0.3212660060006173,16.0,16.0,"[10672, 14129, 35367, 76352]","[np.float64(0.31), np.float64(0.83), np.float64(0.64), np.float64(0.11)]","[14129, 35367]",10671.840057455693,False,False,False,1.3872864650554857,0.000930772432104593,3.979977131179206,9.629303091015109,0.40897010842267867,19.066481222903594
A,1750000.0,0.3212660060006173,20.0,16.0,"[11435, 15196, 38511, 83811]","[np.float64(0.65), np.float64(0.61), np.float64(0.53), np.float64(0.11)]","[11435, 15196, 38511]",83810.89575094805,False,False,False,1.5291286769693129,0.0009458907897130208,4.32357477866077,10.677177542408188,0.40897010842267867,19.376174410539647
A,1750000.0,0.3212660060006173,24.0,16.0,"[11160, 16042, 42150, 88859]","[np.float64(0.78), np.float64(0.57), np.float64(0.46), np.float64(0.11)]","[11160, 16042]",42150.4957955106,True,False,False,1.7110273593165566,0.0009736303387709755,4.791051014317842,11.994127380577579,0.40897010842267867,19.944407388872925
A,1750000.0,0.3212660060006173,28.0,16.0,"[10640, 16379, 45538, 93809]","[np.float64(0.82), np.float64(0.57), np.float64(0.42), np.float64(0.09)]","[10640, 16379]",45537.76790736288,True,False,False,1.9259985293633002,0.0010193117124059085,5.343522929185298,13.550522643868678,0.40897010842267867,20.88017108642625
