MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,conv,N_pct,case,comp_RlineMap,comp_NcMap,comp_WcMap,W_stack,PR_stack,stall_index,stall_row,beta_cc,SM_peak,SMW_peak
1e-06,0.0,675.5595844243848,675.5600522390413,0.00046781465650345917,1.3746698693718105,0.02567000212596914,0.13679327447071776,0.01773989709312149,4.200570335818062,4.3320406022867655,98.24962776671481,288.1500000000577,425.6213766449697,502.9107043793954,404.3403078127212,1183.9340653747217,158.01272249717564,1004.7206710072757,2.5589098233526633,299.4825918190319,1.4176992593278916,1.5594694984156516,492.722069741811,72.40531507652257,100000.0,0.6881858498077847,0.7502794671896682,3.689568134573792e-09,1.4001452291610537,1004.4167849535459,1.3862807359524096,1030.1741714073491,1.3102703610316808,1212.105206123851,1.3229150876247227,1175.8917563283776,True,100.0,SLS,3.178028216453096,1.0353875034113087,2.551789110929032,,,,,,,
1e-06,0.0,620.4108690001266,620.411323140231,0.000454140104456032,1.3344873004517714,0.023691847602869878,0.13747446350801143,0.016865844444609458,4.012464142011806,4.1380470242809775,98.24962776671475,288.1500000000577,406.5615798167677,493.9463312567373,386.2335008259293,1146.1521971141028,152.88381819920994,973.1104077279094,2.5263203481918612,278.42362290664096,1.376258911019492,1.5088509806895218,466.52495396678415,72.40531507402082,97500.0,0.691778833882297,0.7497230283253762,2.0422247114168927e-10,1.4001452291610537,1004.4167849535459,1.3871675736854894,1028.4750916546352,1.3132957415461604,1203.177923018064,1.3260444469889667,1167.3693165772477,True,97.5,SLS,2.720958895607615,1.0095028158258375,2.477198517116041,1.0899877747218292,4.171670191106965,0.8157020888044919,S1,0.9705531144836849,0.08814313753595115,0.12815669744705804
1e-06,0.0,568.4788255039808,568.4792626128785,0.0004371088976876512,1.2844412267384713,0.022164626039080804,0.14036169890752095,0.016393427973808033,3.827518757116341,3.9473131827973593,98.249627766715,288.1500000000577,387.82205088848764,486.02963832259877,368.4309483440632,1122.9993122050996,148.10725495322464,955.9313971173004,2.487595549998016,257.5228893570115,1.32464631426705,1.4617098102083936,444.3363163672688,72.40531507410421,95000.0,0.6924337372657696,0.7484979901869981,1.0653196428099457e-12,1.4001452291610537,1004.4167849535459,1.3879507649313485,1026.974586354035,1.3151550699364138,1197.7705554760873,1.3277722720624352,1162.719141945829,True,95.0,SLS,2.3142079181272392,0.9836181282407432,2.3842983752384543,1.049110946233178,3.9822202327617413,0.8584911930186939,S1,0.9473869022030699,0.05662134349439785,0.1327561303540914
1e-06,0.0,513.7120917690879,513.7125105756871,0.00041880659922937334,1.2306600596008428,0.020461129980247177,0.14338784137866822,0.015794835730298613,3.624769052343281,3.738217778373546,98.24962776671495,288.1500000000577,367.27850523611704,476.9836516367321,348.9145799743112,1094.3203673659102,142.82387140390935,934.006750452032,2.4429710281943855,235.2952726586057,1.269181709625903,1.4095666956286044,419.32359854442575,72.40531507409875,92500.0,0.6898619246826333,0.7472750449545965,3.3825381406966415e-12,1.4001452291610537,1004.4167849535459,1.38883821505755,1025.276581422356,1.3175240499612888,1190.968889239325,1.33003416644651,1156.7262065035825,True,92.5,SLS,1.851040548004821,0.9577334406554605,2.2844648081158208,1.0051833534630892,3.7680678428288137,0.895238552232023,S1,0.9391463583875695,0.029133542738992713,0.07036287382265183
1e-06,0.0,460.16554011478166,460.1659380554858,0.00039794070409264617,1.169345782796609,0.018966615569000964,0.1483809848763818,0.01540885942861004,3.418255773320557,3.5252410066220055,98.2496277667149,288.1500000000577,346.3536166885714,468.74536504925703,329.0359358541428,1073.6101574532736,137.79789846011556,919.7455395583436,2.3878153406626836,213.72286373651488,1.2059481968034322,1.359964034637379,395.46115915077695,72.40531507409953,90000.0,0.6826845826736577,0.7458516371384821,1.177782367130325e-13,1.4001452291610537,1004.4167849535459,1.3895758348543086,1023.8867235251743,1.3192663704303862,1186.0520636963886,1.3315239894169002,1152.8179402775363,True,90.0,SLS,1.027362153179897,0.9318487530701778,2.170647587428759,0.955102837814249,3.5497205375411727,0.9507912181905929,R1,0.9033339447515475,0.0019025350429608956,0.0029184214169670764
1e-06,0.0,407.97126523412925,407.97163885592096,0.00037362179167387303,1.0978848405340356,0.01776289807039938,0.15674249267712462,0.015370239704440361,3.2058146710390676,3.3061508814476728,98.24962776671481,288.1500000000577,324.82809344282987,458.3869717849847,308.58668877068834,1063.4485276659373,133.30814706187914,916.181275103403,2.3148374317096176,189.0344717658563,1.1322504114851157,1.3165589287098323,373.44102200159665,72.37330693097806,87500.0,0.6817614309600117,0.7441362485901186,3.661064302143497,1.4001452291610537,1004.4167849535459,1.3905032729538447,1022.1391968202588,1.320019463989912,1183.9283368405245,1.3318666448359147,1151.929452215065,False,87.5,SLS,1.0,0.9059640654848953,2.107286834324658,,,,,,,
1e-06,0.0,363.37025810751965,363.3706103275336,0.0003522200139542131,1.0349958767676943,0.016619266020679768,0.16465122375740485,0.015254459533648438,3.014433553220438,3.1087798802215096,98.249627766715,288.15000000005773,305.4364660404161,448.62283614053166,290.1646427383953,1050.975132918899,129.54854009669353,910.1960337487831,2.2398140690880792,167.87371828374182,1.067392921452119,1.2801751987734276,352.86577808149343,72.28293120511061,85000.0,0.6803484621044024,0.7421369068105377,6.177783735066188,1.4001452291610537,1004.4167849535459,1.3913775007143383,1020.4919294907716,1.3210256847095707,1181.128919664525,1.3324762753638326,1150.3496107294322,False,85.0,SLS,1.0,0.8800793778996123,2.044059630652365,,,,,,,
1e-06,0.0,322.8201850132169,322.8205138206652,0.0003288074482907718,0.9661982276671391,0.015835329535118802,0.1765911456995593,0.015569851638710991,2.8293772047474817,2.9179316022007944,98.24962776671502,288.1500000000577,286.6856937649624,439.1088215039143,272.3514090767143,1054.187261618517,126.2089517572594,919.9516751298576,2.157940504890129,147.33887372882617,0.9964417946787298,1.2482088389891988,335.70542265690943,72.2279201502587,82500.0,0.6787044121177604,0.7395654820757241,8.737902446512539,1.4001452291610537,1004.4167849535459,1.3921795666548111,1018.9899057002253,1.3205721527349559,1182.3877588836854,1.3313973266942773,1153.1467951450559,False,82.5,SLS,1.0,0.8541946903143297,1.9803225333694043,,,,,,,
1e-06,0.0,287.9273372885633,287.92764708816844,0.0003097996051282929,0.9103438226929513,0.014909069849818948,0.18641040466941494,0.015558535142721815,2.665254366066013,2.74867201502804,98.2496277667148,288.1500000000577,270.05600232929083,429.40319209810315,256.55320221282625,1045.546974700489,123.28177425731486,918.3526674069526,2.0810310669065,129.83550031906663,0.9388390565040082,1.2190873765512489,317.7943901723646,72.16695529806118,80000.0,0.6766338962551915,0.7374660364771316,9.914234058434102,1.4001452291610537,1004.4167849535459,1.3929368886928213,1017.5837243787395,1.3212268836580912,1180.568234084528,1.3315470249200299,1152.7583799246167,False,80.0,SLS,1.0,0.828310002729047,1.9168292804865859,,,,,,,
1e-06,0.0,253.3958857360388,253.39617442493852,0.000288688899729117,0.8483101727634361,0.014068645020384645,0.19987349804938653,0.01575510137503974,2.5051799184318266,2.5835875262320984,98.24962776671485,288.1500000000578,253.83651275503132,419.90546010354115,241.14468711727972,1044.5428295598808,120.42658914073284,924.1613676225086,2.0024206351595106,112.79385827145613,0.8748636530141009,1.1903017454059237,300.07487595005597,72.08267686673159,77500.0,0.6744809049429121,0.7353183522662354,11.221538333743634,1.4001452291610537,1004.4167849535459,1.3936779863695794,1016.2076667619914,1.3211693415114407,1180.726013911074,1.3308985948418326,1154.4418790759157,False,77.5,SLS,1.0,0.8024253151437643,1.8533831853664313,,,,,,,
