N,T4_steady,SM_steady,P_ex_kW_5,T4_lim_5,SM_lim_5,limit_5,P_ex_kW_10,T4_lim_10,SM_lim_10,limit_10,t_to_100pct_s_5,t_to_100pct_s_10,I_p
1.0,1150.0,0.23809178896951355,0.0,,,none,0.0,,,none,,,0.00207
0.95,1110.0,0.23256297740652832,9.45391893691019,1150.0,0.20998551833330503,T4,9.45391893691019,1150.0,0.20998551833330503,T4,inf,,0.00207
0.9,1030.0000000000002,0.22968951666102577,20.35463056532599,1150.0,0.16163176400013235,T4,20.35463056532599,1150.0,0.16163176400013235,T4,inf,,0.00207
0.85,990.0,0.26187343004486907,24.84460581309363,1150.0,0.17008294159593818,T4,24.84460581309363,1150.0,0.17008294159593818,T4,inf,,0.00207
0.8,950.0,0.2623462805174328,26.240333818125887,1150.0,0.14642975581117845,T4,26.240333818125887,1150.0,0.14642975581117845,T4,inf,,0.00207
0.75,909.9999999999999,0.24412245891734563,24.935412196618405,1149.999997569068,0.10695076556151006,T4,24.935412196618405,1149.999997569068,0.10695076556151006,T4,inf,,0.00207
0.7,870.0,0.25769267200717394,22.785901015612247,1149.999999236652,0.09841363096665035,T4,21.127606136662315,1130.0000000000002,0.10795227417916786,surge margin,inf,,0.00207
0.65,850.0,0.2403945028788339,18.94628066272686,1149.9999992373546,0.07096242351722215,T4,14.357134553023261,1070.0,0.10869208162991861,surge margin,inf,,0.00207
0.6,829.9999999999999,0.2308800826668702,15.231042363022276,1150.0,0.05131968580776203,T4,9.92002803377731,1030.0,0.11033767958319962,surge margin,inf,,0.00207
0.55,830.0,0.21804614524333488,11.244285536758861,1130.0,0.0540675268338171,surge margin,7.373598952435645,1010.0,0.11058030808661545,surge margin,inf,,0.00207
0.5,829.9999999999999,0.18410892807184065,5.6878090670920125,1050.0,0.05771724821247126,surge margin,3.2559984946926788,950.0,0.11143773439231208,surge margin,inf,,0.00207
0.45,850.0,0.12500997439744643,2.352356924940026,970.0,0.05416560509961377,surge margin,0.5786475218178658,870.0,0.11263610715410333,surge margin,inf,,0.00207
0.4,910.0,0.07989522406282501,0.5263111491657377,949.9999999999999,0.05846736745067771,surge margin,0.0,,,none,inf,,0.00207
0.35,1030.0000000000002,0.08955872115258723,0.5007703881524913,1110.0000000000002,0.05501800837006332,surge margin,0.0,,,none,inf,inf,0.00207
