shaft_od_mm,k,crit1_rpm,crit2_rpm,crit3_rpm,crit1_brg_energy,crit2_brg_energy,crit3_brg_energy
12.0,316227.7660168379,3750.4878808148587,7239.242346331419,34578.442148751616,0.886167847975118,0.9728996404806778,0.027978632828955314
12.0,562341.3251903491,4794.941840102434,9558.905419072524,34935.47327824651,0.8146668527168639,0.9582098693519867,0.04658264373817061
12.0,1000000.0,5979.288555825881,12558.782921847738,35535.252372074894,0.7132391505869693,0.9383810554861296,0.07437067145088055
12.0,1778279.410038923,7203.250170070779,16395.165481150474,36505.328746227104,0.5848888346227138,0.9114284559861008,0.11204807624347493
12.0,3162277.6601683795,8354.66531107427,21186.472575870615,37993.19121523671,0.4443270231571197,0.870888543084193,0.15872308896540166
12.0,5623413.251903491,9322.661480268504,26972.64526393881,40111.99955359961,0.3122700122810795,0.7981104729246459,0.22191076118238823
12.0,10000000.0,10044.728372144627,33285.609392585415,43446.2492202572,0.20468314976038812,0.6348497929038416,0.3474774609878574
12.0,17782794.100389227,10530.269098799501,38415.497652232705,49445.9950740008,0.12698690289415354,0.36215811210226395,0.5456589979537956
12.0,31622776.60168379,10833.786869550097,41448.114476710914,58532.28502481762,0.0758106639841335,0.1959266491905299,0.5964939784547258
12.0,56234132.51903491,11015.144858030799,43340.67117189597,68861.1992180582,0.04415833329734163,0.11929273380799738,0.5204822302507018
12.0,100000000.0,11122.266926582177,44568.66390833646,78609.92444053733,0.02534552328813735,0.07407253144068005,0.3954614055794598
12.0,177827941.00389227,11185.907422463823,45303.09414219131,86445.14426696865,0.014423682165270627,0.04497244649131922,0.2682301340925642
12.0,316227766.01683795,11222.265625579734,45753.754274628925,91965.90362972894,0.008166188263374324,0.026603626330092583,0.16748965189419507
12.0,562341325.1903491,11242.895489995703,46021.5595457126,95506.11003921651,0.0046098330955031295,0.01543319475723832,0.0995133731709252
12.0,1000000000.0,11254.555447863902,46177.227709947496,97632.97017117658,0.0025979176515546214,0.008839820262979654,0.057582701574458134
16.0,316227.7660168379,3851.535679854277,7011.590034626652,37781.992309379224,0.948429394431566,0.9915634375766764,0.013564574481003844
16.0,562341.3251903491,5036.94294491322,9319.929698974256,37985.56185300607,0.9119545201901004,0.9857435050837855,0.02333511027672347
16.0,1000000.0,6497.172784555293,12362.266323632268,38334.62648066723,0.8537311168139807,0.9765716027383674,0.039177499273692976
16.0,1778279.410038923,8206.749287004799,16344.691554984014,38908.89723683495,0.766905657187575,0.9627888439068972,0.06321186127558592
16.0,3162277.6601683795,10071.418853798321,21504.431359646762,39782.40696376049,0.6496824296003831,0.9428406344389697,0.09608055647069075
16.0,5623413.251903491,11906.638669961258,28099.277406452744,41115.38595450958,0.5106642072934713,0.9138941284925839,0.1342475208134021
16.0,10000000.0,13510.220187639403,36292.61607700394,43015.70842364458,0.36934216130600633,0.8603633287913469,0.18023966759490304
16.0,17782794.100389227,14761.92632002949,44172.501476264944,47504.93219694717,0.24709911313530936,0.30711612786690623,0.6955578391652432
16.0,31622776.60168379,15634.501301952105,46781.99512234694,59211.989418416204,0.15525347573046178,0.16318614892799593,0.760542175588547
16.0,56234132.51903491,16192.657566448377,48785.66791610468,72864.89610484558,0.09334140327975528,0.12696936829050337,0.6742458561549797
16.0,100000000.0,16530.57521432298,50351.33355993936,86969.14569431964,0.05457337759232868,0.09122239289086573,0.5506832962726501
16.0,177827941.00389227,16731.34497080263,51440.63598432955,99846.27169902189,0.03138563707984856,0.06045100402653841,0.40613570429503465
16.0,316227766.01683795,16848.97937054929,52159.37216033868,109970.87047102617,0.017878207651401842,0.03770233449149258,0.269639204231737
16.0,562341325.1903491,16916.248044400927,52605.80812385345,116972.45347227942,0.010127256200261458,0.022571239335596904,0.16518017562112183
16.0,1000000000.0,16954.435666019534,52872.210842436514,121367.79491559103,0.005718475576719811,0.013168364296893638,0.09659472609105241
20.0,316227.7660168379,3849.413907591281,6685.624990548407,43822.43820361851,0.9669014814826509,0.9952735199397719,0.0073379915464740954
20.0,562341.3251903491,5069.195275167778,8898.816935442721,43950.55396855022,0.942747875041245,0.9917719891582439,0.01279789797438126
20.0,1000000.0,6613.722963347621,11829.513494876572,44173.34428600713,0.9028545222744491,0.9858688536166037,0.021996620591796023
20.0,1778279.410038923,8503.03186014148,15690.588861225544,44542.022372145744,0.840104301566725,0.9761948468356496,0.03690238032783074
20.0,3162277.6601683795,10697.585764397923,20738.05058562409,45142.537657176625,0.74844200473765,0.9608543781854956,0.05950819416389309
20.0,5623413.251903491,13043.122764958862,27258.882575735985,46110.06100249352,0.627451024085937,0.9370637703034619,0.09041204466169875
20.0,10000000.0,15320.043059969004,35512.99238415054,47585.64826993078,0.4876060424496434,0.8975362436288336,0.12976390252523387
20.0,17782794.100389227,17278.78527278163,45321.237041067296,50026.561906696035,0.3488123008463979,0.7380699065246907,0.2689473468120363
20.0,31622776.60168379,18772.300335545446,50682.84409374754,59352.98384822562,0.2310529820457312,0.18191137930864032,0.7706933865693115
20.0,56234132.51903491,19804.613594265946,52944.638077076605,73765.29063871223,0.144100868034574,0.13215955164166887,0.7232439651245781
20.0,100000000.0,20462.232750133124,54746.00685024159,89547.38131175778,0.08621398093095467,0.09921570188440088,0.6170978925041039
20.0,177827941.00389227,20859.610815954395,56079.088661957176,104930.44272401932,0.05025553925832889,0.06847381388583146,0.48058814515200327
20.0,316227766.01683795,21092.351530986347,56978.297820658285,118004.4805955999,0.028846328131417007,0.043948925265875495,0.33747769235578723
20.0,562341325.1903491,21226.260533994722,57550.66607277354,,0.01641100920083613,0.02680188167694459,
20.0,1000000000.0,21302.537253409126,57897.652782481775,,0.009289289260056885,0.015814091895656197,
24.0,316227.7660168379,3815.4136202535233,6339.1382660751315,50470.99831520011,0.9740358044649269,0.9962436066393373,0.005478420644952027
24.0,562341.3251903491,5038.03515742784,8440.79003987708,50575.6621752164,0.9548550209718697,0.9933806422710701,0.009615165065464183
24.0,1000000.0,6603.088387210824,11227.252756012145,50759.46305435543,0.9227425482859252,0.9884074449653933,0.01671088574682286
24.0,1778279.410038923,8551.536393515247,14904.558577709253,51079.20459604242,0.8711293780177662,0.9798845921818663,0.02856703397592925
24.0,3162277.6601683795,10876.037504065398,19723.20017331385,51626.66745084817,0.7932385212190249,0.9655073746132365,0.04756436041710889
24.0,5623413.251903491,13459.501694273902,25959.167975162072,52541.37693166405,0.6856212783263466,0.941384312467459,0.07635214467930923
24.0,10000000.0,16099.313283970107,33852.25582999419,54029.41152735234,0.5535918823056918,0.8986102481917831,0.11921174048133848
24.0,17782794.100389227,18497.39421584431,43326.90562542824,56501.38061825101,0.4127386315017878,0.7983443841265783,0.20510863665869256
24.0,31622776.60168379,20443.30558751212,52338.82460711675,62105.65325622553,0.28408150921503234,0.45865030816018987,0.5021687541649268
24.0,56234132.51903491,21850.19338269178,56965.9074055044,74419.5279586769,0.1825205939443191,0.19148923898924744,0.6866946536136442
24.0,100000000.0,22780.114411206174,59486.061197933326,90204.88906315232,0.11144933371262669,0.12005178108836878,0.6322105074621494
24.0,177827941.00389227,23360.586294807224,61209.89133111637,106463.4817628707,0.06581724221332066,0.08001479721263752,0.5126579399414741
24.0,316227766.01683795,23707.209581290586,62356.452732531034,120945.54476254167,0.03807633322181772,0.05121533026734582,0.3729954157781409
24.0,562341325.1903491,23908.91839647466,63087.84948230669,,0.02176158334574769,0.03134160851501913,
24.0,1000000000.0,24024.565579064358,63533.341455174406,,0.012350382219060643,0.018558792379915312,
28.0,316227.7660168379,3766.081395289026,5997.407430865734,56463.62570873897,0.9776831640211586,0.9966907108478354,0.005055270275212735
28.0,562341.3251903491,4979.820192609771,7987.313900168446,56572.34232475361,0.9610733970870071,0.9941486120803655,0.008890020168443449
28.0,1000000.0,6542.188768817944,10626.89933261225,56763.69233284915,0.9330340735033986,0.989695312190392,0.015503538339275787
28.0,1778279.410038923,8504.801657394164,14114.357834100958,57097.87620022911,0.8873695936797137,0.9819671795161097,0.026656628121746812
28.0,3162277.6601683795,10878.581742785496,18691.73258316506,57673.85138500393,0.8170848541607894,0.9687211575976078,0.044792381102640756
28.0,5623413.251903491,13571.485748066734,24629.415119046153,58645.791032885034,0.7173284102110133,0.9462291695283169,0.07277121682420215
28.0,10000000.0,16397.1439322536,32176.93217387105,60240.42031369382,0.5907215290902641,0.9073986501015827,0.11387967411776873
28.0,17782794.100389227,19042.90447363428,41388.786734880014,62769.2788914744,0.4502267229989509,0.8330858366424481,0.17849186461379046
28.0,31622776.60168379,21262.932567403444,51486.84198000169,67234.81175811891,0.3165889808381062,0.656512797896038,0.3196052233744386
28.0,56234132.51903491,22913.05383500936,59492.85765577106,76317.39738521873,0.20703456894106986,0.3479426894466546,0.553838039850726
28.0,100000000.0,24032.28743920616,63907.85527133759,90624.91892593059,0.12806346686347825,0.17780095079616925,0.605004294404816
28.0,177827941.00389227,24739.491355283277,66510.30742063915,106743.34926100813,0.0762647568895962,0.106979168427194,0.5194071344921717
28.0,316227766.01683795,25165.09332075749,68151.39849700402,121727.50873588114,0.04434580876556754,0.06611917814861458,0.38963197774572955
28.0,562341325.1903491,25413.865240848198,69179.08125039176,,0.025420663395046617,0.03998699957260639,
28.0,1000000000.0,25556.853762158433,69801.88241225442,,0.014451880288655837,0.02358159141282781,
