shaft_od_mm,k,c,ok,crits
16.0,600000.0,876.0,False,"[(5006, 1.39), (6758, 0.69), (38042, 11.58)]"
16.0,600000.0,2000.0,False,"[(2675, 0.56), (3033, 0.53), (38195, 4.85)]"
16.0,1000000.0,876.0,False,"[(6472, 2.0), (10474, 0.91), (38364, 11.9)]"
16.0,1000000.0,2000.0,False,"[(2201, 0.57), (6200, 0.78), (38579, 5.02)]"
16.0,1750000.0,876.0,False,"[(8227, 3.19), (15045, 1.23), (38930, 12.52)]"
16.0,1750000.0,2000.0,False,"[(2049, 0.5), (8679, 1.34), (39227, 5.36)]"
16.0,3000000.0,876.0,False,"[(9991, 5.47), (20312, 1.67), (39756, 13.57)]"
16.0,3000000.0,2000.0,False,"[(10448, 2.42), (15593, 0.69), (40106, 5.9)]"
16.0,5000000.0,876.0,False,"[(11612, 10.08), (26343, 2.29), (40875, 15.29)]"
16.0,5000000.0,2000.0,False,"[(11913, 4.54), (24219, 0.95), (41244, 6.81)]"
16.0,10000000.0,876.0,False,"[(13543, 27.19), (36539, 3.71), (42966, 19.12)]"
16.0,10000000.0,2000.0,False,"[(13655, 12.2), (36323, 1.51), (43204, 9.21)]"
16.0,19000000.0,876.0,False,"[(14888, 78.73), (44822, 27.83), (48599, 5.76)]"
16.0,19000000.0,2000.0,False,"[(14920, 34.94), (45224, 14.42), (48862, 2.44)]"
20.0,600000.0,876.0,False,"[(4955, 1.34), (6717, 0.73), (43989, 16.82)]"
20.0,600000.0,2000.0,False,"[(1151, 0.51), (3042, 0.55), (44111, 7.17)]"
20.0,1000000.0,876.0,False,"[(6495, 1.85), (10128, 0.94), (44190, 17.1)]"
20.0,1000000.0,2000.0,False,"[(2082, 0.57), (5578, 0.74), (44332, 7.31)]"
20.0,1750000.0,876.0,False,"[(8444, 2.76), (14437, 1.27), (44554, 17.64)]"
20.0,1750000.0,2000.0,False,"[(5808, 0.53), (8422, 1.15), (44724, 7.58)]"
20.0,3000000.0,876.0,False,"[(10543, 4.36), (19492, 1.71), (45123, 18.59)]"
20.0,3000000.0,2000.0,False,"[(10835, 1.87), (15281, 0.72), (45325, 8.05)]"
20.0,5000000.0,876.0,False,"[(12632, 7.3), (25361, 2.29), (45942, 20.15)]"
20.0,5000000.0,2000.0,False,"[(12946, 3.21), (23090, 0.97), (46158, 8.8)]"
20.0,10000000.0,876.0,False,"[(15364, 17.25), (35379, 3.54), (47618, 23.73)]"
20.0,10000000.0,2000.0,False,"[(15538, 7.68), (34701, 1.52), (47782, 10.7)]"
20.0,19000000.0,876.0,False,"[(17491, 45.17), (46953, 6.21), (49878, 19.82)]"
20.0,19000000.0,2000.0,False,"[(17556, 20.04), (47342, 2.46), (49638, 13.32)]"
24.0,600000.0,876.0,False,"[(4897, 1.33), (6643, 0.76), (50593, 19.34)]"
24.0,600000.0,2000.0,False,"[(1272, 0.52), (3111, 0.55), (50609, 8.36)]"
24.0,1000000.0,876.0,False,"[(6447, 1.81), (9775, 1.0), (50766, 19.55)]"
24.0,1000000.0,2000.0,False,"[(2049, 0.57), (5373, 0.74), (50788, 8.46)]"
24.0,1750000.0,876.0,False,"[(8452, 2.63), (13807, 1.34), (51082, 19.92)]"
24.0,1750000.0,2000.0,False,"[(7257, 0.57), (8212, 1.1), (51113, 8.65)]"
24.0,3000000.0,876.0,False,"[(10678, 4.01), (18584, 1.79), (51587, 20.55)]"
24.0,3000000.0,2000.0,False,"[(10827, 1.71), (15059, 0.76), (51625, 8.97)]"
24.0,5000000.0,876.0,False,"[(12979, 6.42), (24165, 2.39), (52345, 21.49)]"
24.0,5000000.0,2000.0,False,"[(13242, 2.8), (22173, 1.02), (52376, 9.45)]"
24.0,10000000.0,876.0,False,"[(16145, 14.08), (33726, 3.69), (54009, 23.09)]"
24.0,10000000.0,2000.0,False,"[(16339, 6.24), (33098, 1.58), (53946, 10.38)]"
24.0,19000000.0,876.0,False,"[(18772, 34.5), (44599, 6.18), (56743, 21.45)]"
24.0,19000000.0,2000.0,False,"[(18858, 15.28), (45025, 2.62), (56187, 10.29)]"
