M_ab,D_ab_mm,A_ab_cm2,AR,L_diff_7deg_mm,L_diff_10deg_mm,L_diff_12deg_mm,dPqP_flameholder,dPqP_rayleigh,dPqP_total,thermally_choked,fits_engine_OD,Fn_N,TSFC,A8_cm2,U_mps,tau_res_ms,tau_ign_ms,tau_psr_ms,Da_psr,holds_flame,d_gutter_min_mm,S_T_mps,spread_angle_deg,L_burn_mm,L_autoignition_mm,L_total_7deg_mm
0.15,188.75077710950646,279.8126715963183,3.7250058742806527,370.37977813524395,257.91242067963304,213.95207971161395,0.012602126363679642,0.014604372882837446,0.027206499246517087,False,False,907.6472889516493,0.2637017751164364,106.80155095525342,91.18363970365594,0.8225159715465156,14.802206732753504,0.039182082047999986,20.992145607241923,True,1.1909216174346386,18.23672794073119,11.309932474020215,117.96923569344153,1349.7190855384258,488.3490138286855
0.18,172.79966663604563,234.51773009248944,3.122017016719632,305.42409333186447,212.680799264207,176.43004240508344,0.018028823614424223,0.021246856877139675,0.039275680491563894,False,False,900.3810598411559,0.2658343014726581,108.14849457898951,109.33237625921203,0.6859816146516866,15.355215851384164,0.039182082047999986,17.50753351522579,True,1.4279567123637507,21.866475251842406,11.309932474020215,107.99979164752851,1678.8222370049505,413.423884979393
0.2,164.29274384397675,211.9955022713105,2.822189884312943,270.7824302045436,188.55822097843108,156.41907985179554,0.022146550118919844,0.026450204452490356,0.0485967545714102,False,True,894.6425905986877,0.2675428576933988,109.21220552434272,121.40552351229708,0.6177643144251448,15.793422074066205,0.039182082047999986,15.766500454681122,True,1.5856403944464055,24.281104702459416,11.309932474020215,102.68296490248547,1917.4086749526764,373.46539510702905
0.22,157.02736588835873,193.66028756957382,2.578102359325155,241.1965527041821,167.95621802225722,139.32862190842476,0.026649508424498747,0.032317880526261056,0.0589673889507598,False,True,888.1237633731369,0.2695104619228174,110.42053508621429,133.45519689243758,0.5619863575672411,16.292338436396072,0.039182082047999986,14.342942697092514,True,1.7430174914571608,26.691039378487517,11.309932474020215,98.1421036802242,2174.2972338674663,339.3386563844063
0.25,147.90454244955453,171.81176761017343,2.287243962066725,204.0468354607482,142.08716666622095,117.8688669915978,0.034095639905377714,0.042480377366826305,0.07657601727220402,False,True,876.7183538001389,0.27302318408972687,112.53456174244619,151.48075710412994,0.4951123920541536,17.16517346322234,0.039182082047999986,12.636194050321686,True,1.9784438178490587,30.29615142082599,11.309932474020215,92.44033903097157,2600.1934720326403,296.48717449171977
0.28,140.39699468347186,154.8123147577138,2.0609387651872773,173.47480054497615,120.79845708837284,100.20874935726766,0.042325981204317735,0.05450375483551806,0.0968297360398358,False,True,863.3494093836405,0.27726006438539097,115.01301709813409,169.44090192851746,0.4426322047768636,18.20471695157912,0.039182082047999986,11.296801538892632,True,2.21301577388343,33.88818038570349,11.309932474020215,87.7481216771699,3084.623659628937,261.22292222214605
0.3,136.088489878761,145.45634522633264,1.936387431378261,155.9298226868971,108.58108460402677,90.07378864173005,0.04822113797316125,0.063742194813738,0.11196333278689924,False,True,852.7369078179706,0.2807177972474654,116.98040013005271,181.3743386064319,0.4135094334526789,19.00232984915772,0.039182082047999986,10.55353395835651,True,2.368874738892982,36.274867721286384,11.309932474020215,85.05530617422562,3446.5350083722406,240.98512886112272
0.32,132.2357605336445,137.33705048839474,1.8282993293588217,140.2408414469708,97.6561276585933,81.01095540137686,0.05442248384158448,0.07416783691180018,0.12859032075338467,False,True,840.6503535886417,0.2847618423937427,119.22093700916709,193.27326825108088,0.38805159491879476,19.893102407325525,0.039182082047999986,9.903802315645514,True,2.524283018099654,38.654653650216176,11.309932474020215,82.64735033352781,3844.804917917249,222.8881917804986
0.35,127.16942848073282,127.0150900275411,1.6908882423933154,119.60985976793857,83.28982922668106,69.09334624100481,0.0642582855292731,0.09273093716703784,0.15698922269631094,False,True,818.8990870111766,0.29233958215028266,123.2527850292507,211.0523391176691,0.35536208844472866,21.425655379599824,0.039182082047999986,9.069504984686432,True,2.7564900225769424,42.210467823533826,11.309932474020215,79.48089280045801,4521.934684993614,199.09075256839657
0.38,122.80948356493126,118.45508031736675,1.5769331228042336,101.85540886735134,70.92659105892102,58.837382177731044,0.07467694234873375,0.11703394795645494,0.19171089030518867,False,True,790.2191167649135,0.30296741848619896,128.56845050218368,228.7420107574832,0.3278803038918657,23.22757691530333,0.039182082047999986,8.368118455017171,True,2.9875294111080675,45.74840215149664,11.309932474020215,76.75592722808203,5313.122648630583,178.6113360954334
